,Features,Correlation
338,Cytoplasm.Cytoplasm_Correlation_K_DNA_Brightfield,0.72275
515,Cells.Cells_AreaShape_MeanRadius,0.70575
187,Cells.Cells_AreaShape_MaximumRadius,0.70075
484,Cells.Cells_AreaShape_MedianRadius,0.69675
874,Cells.Cells_AreaShape_Area,0.68075
459,Cells.Cells_AreaShape_MinorAxisLength,0.68025
1048,Cells.Cells_AreaShape_MinFeretDiameter,0.67775
130,Cytoplasm.Cytoplasm_AreaShape_MinFeretDiameter,0.67775
825,Cytoplasm.Cytoplasm_Intensity_IntegratedIntensityEdge_Brightfield,0.67775
295,Cells.Cells_Intensity_IntegratedIntensity_Brightfield,0.67425
565,Cytoplasm.Cytoplasm_AreaShape_Perimeter,0.6677500000000001
1094,Cytoplasm.Cytoplasm_AreaShape_MinorAxisLength,0.6555
535,Cytoplasm.Cytoplasm_AreaShape_Area,0.65375
651,Cytoplasm.Cytoplasm_Intensity_IntegratedIntensity_Brightfield,0.6480000000000001
1306,Cells.Cells_AreaShape_Perimeter,0.6432500000000001
851,Nuclei.Nuclei_AreaShape_MedianRadius,0.6425000000000001
1081,Cells.Cells_Intensity_IntegratedIntensityEdge_Brightfield,0.64225
770,Nuclei.Nuclei_AreaShape_MeanRadius,0.6405000000000001
311,Cytoplasm.Cytoplasm_AreaShape_MedianRadius,0.6387499999999999
41,Cytoplasm.Cytoplasm_AreaShape_MeanRadius,0.63625
