,Features,Correlation
526,Cytoplasm.Cytoplasm_Intensity_MinIntensity_Brightfield,0.24466666666666667
1126,Cells.Cells_Intensity_MinIntensity_Brightfield,0.225
148,Cytoplasm.Cytoplasm_Intensity_MinIntensityEdge_Brightfield,0.19999999999999998
412,Cells.Cells_Intensity_MinIntensityEdge_Brightfield,0.19499999999999998
1140,Cells.Cells_Granularity_1_Brightfield,0.16433333333333336
1296,Cytoplasm.Cytoplasm_Granularity_1_Brightfield,0.16133333333333333
1002,Nuclei.Nuclei_Granularity_1_Brightfield,0.16033333333333333
616,Nuclei.Nuclei_AreaShape_Solidity,0.15100000000000002
159,Nuclei.Nuclei_AreaShape_FormFactor,0.14300000000000002
668,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,0.13333333333333333
384,Cytoplasm.Cytoplasm_RadialDistribution_FracAtD_DNA_4of4,0.13066666666666665
1227,Nuclei.Nuclei_Correlation_Overlap_DNA_RNA,0.125
381,Cells.Cells_Correlation_Overlap_AGP_Brightfield,0.12233333333333334
330,Cytoplasm.Cytoplasm_Granularity_1_ER,0.11966666666666669
720,Nuclei.Nuclei_Correlation_Overlap_DNA_ER,0.11866666666666666
170,Cytoplasm.Cytoplasm_Granularity_1_RNA,0.11766666666666668
1302,Nuclei.Nuclei_Correlation_RWC_DNA_Mito,0.11666666666666668
134,Cells.Cells_Granularity_1_ER,0.11599999999999999
564,Nuclei.Nuclei_Granularity_1_AGP,0.11499999999999999
255,Nuclei.Nuclei_Correlation_K_RNA_DNA,0.11233333333333334
