plate,mAP model,mAP BM
BR00112202,0.1782490133630673,0.0987380390304263
BR00112197standard,0.16808414851172393,0.0981163415636915
BR00112199,0.10673473696473984,0.0830907353838999
BR00113818,0.1788713038649758,0.0798761011401247
BR00113819,0.16537878440662968,0.0694452426115742
BR00112198,0.16564822984390729,0.0971253255258254
BR00112197repeat,0.16542331931446572,0.1028446204361418
BR00112204,0.15528959082860472,0.0867510841330255
BR00113820,0.17446898362846067,0.0922019055729686
BR00113821,0.09882980217025893,0.0907171590342777
BR00112197binned,0.1686277936217152,0.0950550699531486
BR00112201,0.16965983246690683,0.0990017903676468
