plate,Training mAP model,Training mAP BM,Validation mAP model,Validation mAP BM
BR00115128highexp,0.6265674493151762,0.4019103220686215,0.5388457080297113,0.3254953086986544
BR00115125highexp,0.6768992044139668,0.373356392490926,0.44279921939406414,0.3055547803361418
BR00115134,0.7125248683199902,0.3666076330632573,0.43258491503805185,0.3349360438602813
BR00115131,0.6962078641893938,0.3780352314179784,0.5449591345769087,0.2894526454244912
BR00115126,0.3765415100598359,0.3169230396810759,0.335930271894376,0.2818283969092923
BR00115134bin1,0.6143258118971452,0.3697603483553009,0.4574879811831263,0.3039695188636785
BR00115133,0.5864063390715614,0.3794393037124,0.43237483843263325,0.2986528632593621
BR00115127,0.6097219336374821,0.3799090911702706,0.48490179511248105,0.3081200501534596
BR00115133highexp,0.7242652208181354,0.3807476553615914,0.4577230154167735,0.3068039525257234
BR00115128,0.7197684180341208,0.3933550605325963,0.5248536540072348,0.323093703958355
BR00115129,0.5901789633281425,0.3837851724993911,0.5341797530269405,0.3232901899259863
BR00115134multiplane,0.5343531357173454,0.3335060686860001,0.3217787427260271,0.2917863043139265
BR00115126highexp,0.36601081709693684,0.316264461035311,0.3575334340440894,0.3068757616628045
