,FeatureNames,Saliency
314,Nuclei.Nuclei_Correlation_Correlation_AGP_Brightfield,0.0024463057
109,Nuclei.Nuclei_RadialDistribution_RadialCV_Brightfield_1of4,0.0022823967
526,Cytoplasm.Cytoplasm_Intensity_MinIntensity_Brightfield,0.001887661
523,Nuclei.Nuclei_RadialDistribution_RadialCV_ER_1of4,0.0018653815
128,Nuclei.Nuclei_RadialDistribution_MeanFrac_ER_4of4,0.0017877811
596,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,0.0017860656
225,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_1of4,0.0017269094
150,Nuclei.Nuclei_RadialDistribution_MeanFrac_ER_2of4,0.0017176658
321,Nuclei.Nuclei_RadialDistribution_RadialCV_Brightfield_2of4,0.0017145906
1126,Cells.Cells_Intensity_MinIntensity_Brightfield,0.001647399
855,Cells.Cells_Intensity_MADIntensity_Brightfield,0.0015490911
996,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_2of4,0.0015008284
1029,Nuclei.Nuclei_Granularity_2_Brightfield,0.001486573
229,Nuclei.Nuclei_Granularity_3_DNA,0.001452575
934,Nuclei.Nuclei_Granularity_8_DNA,0.0014259878
1182,Cells.Cells_Correlation_Correlation_DNA_ER,0.0013938235
118,Cells.Cells_Granularity_2_Brightfield,0.001384421
627,Cytoplasm.Cytoplasm_Correlation_Overlap_ER_RNA,0.0013599813
947,Nuclei.Nuclei_RadialDistribution_RadialCV_ER_2of4,0.0013514108
520,Nuclei.Nuclei_RadialDistribution_MeanFrac_ER_3of4,0.0013421841
896,Cells.Cells_Correlation_RWC_DNA_ER,0.0013216469
351,Cytoplasm.Cytoplasm_Granularity_2_Brightfield,0.0013144056
1239,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_Brightfield,0.0012814421
1202,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,0.0012805107
74,Cytoplasm.Cytoplasm_Intensity_MADIntensity_Brightfield,0.0012802479
550,Nuclei.Nuclei_RadialDistribution_FracAtD_ER_3of4,0.0012780924
1302,Nuclei.Nuclei_Correlation_RWC_DNA_Mito,0.0012327615
358,Cells.Cells_Correlation_RWC_AGP_ER,0.0012145742
1002,Nuclei.Nuclei_Granularity_1_Brightfield,0.0012051922
575,Nuclei.Nuclei_Granularity_2_DNA,0.001201644
1140,Cells.Cells_Granularity_1_Brightfield,0.0012012082
1004,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_Brightfield_2of4,0.0011912255
148,Cytoplasm.Cytoplasm_Intensity_MinIntensityEdge_Brightfield,0.0011844042
1296,Cytoplasm.Cytoplasm_Granularity_1_Brightfield,0.0011554334
711,Nuclei.Nuclei_AreaShape_Zernike_5_3,0.0011482857
441,Nuclei.Nuclei_Granularity_10_DNA,0.0011287273
193,Nuclei.Nuclei_RadialDistribution_FracAtD_DNA_1of4,0.0011276407
131,Cells.Cells_Intensity_MassDisplacement_Brightfield,0.0011196566
476,Nuclei.Nuclei_Intensity_MADIntensity_Brightfield,0.0010853339
111,Cytoplasm.Cytoplasm_Correlation_Correlation_AGP_Brightfield,0.0010762189
431,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_ER,0.0010711858
750,Nuclei.Nuclei_AreaShape_Zernike_7_1,0.0010587828
1288,Nuclei.Nuclei_Correlation_RWC_Brightfield_RNA,0.001057466
208,Cells.Cells_Neighbors_FirstClosestDistance_Adjacent,0.0010468338
1173,Nuclei.Nuclei_RadialDistribution_RadialCV_RNA_1of4,0.0010428169
1188,Nuclei.Nuclei_Granularity_7_DNA,0.001039651
1043,Nuclei.Nuclei_RadialDistribution_MeanFrac_ER_1of4,0.0010202958
509,Nuclei.Nuclei_RadialDistribution_FracAtD_DNA_2of4,0.001018629
926,Nuclei.Nuclei_Correlation_Correlation_ER_RNA,0.00101464
356,Cytoplasm.Cytoplasm_Intensity_StdIntensity_Brightfield,0.00100772
155,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_AGP_2of4,0.001002651
481,Nuclei.Nuclei_Granularity_11_ER,0.0009722659
670,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_Mito,0.0009582758
330,Cytoplasm.Cytoplasm_Granularity_1_ER,0.0009532898
897,Cells.Cells_Correlation_RWC_ER_AGP,0.00095211185
298,Nuclei.Nuclei_Correlation_Correlation_DNA_RNA,0.00095183257
278,Nuclei.Nuclei_RadialDistribution_MeanFrac_DNA_4of4,0.00094994006
102,Nuclei.Nuclei_Intensity_IntegratedIntensity_Brightfield,0.00093003723
1038,Nuclei.Nuclei_Correlation_Overlap_ER_RNA,0.0009149328
617,Nuclei.Nuclei_Intensity_StdIntensityEdge_Brightfield,0.0008985837
549,Cells.Cells_Correlation_Overlap_DNA_ER,0.0008921469
1279,Cytoplasm.Cytoplasm_Correlation_RWC_RNA_ER,0.00088622293
707,Nuclei.Nuclei_Correlation_RWC_RNA_Mito,0.0008844297
956,Nuclei.Nuclei_RadialDistribution_MeanFrac_DNA_1of4,0.000878035
823,Nuclei.Nuclei_RadialDistribution_RadialCV_Brightfield_3of4,0.0008776747
1224,Cells.Cells_RadialDistribution_MeanFrac_Mito_3of4,0.00087253645
948,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_3of4,0.0008683998
449,Nuclei.Nuclei_Intensity_StdIntensityEdge_DNA,0.0008646014
1277,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_AGP_3of4,0.0008455936
721,Cells.Cells_Neighbors_AngleBetweenNeighbors_Adjacent,0.0008407495
1103,Cytoplasm.Cytoplasm_AreaShape_EulerNumber,0.000839796
280,Cytoplasm.Cytoplasm_Correlation_Overlap_DNA_RNA,0.0008370325
819,Nuclei.Nuclei_Correlation_RWC_AGP_ER,0.00083626393
284,Cells.Cells_AreaShape_Zernike_9_1,0.0008144498
709,Nuclei.Nuclei_Granularity_3_Mito,0.0008129376
798,Nuclei.Nuclei_RadialDistribution_FracAtD_DNA_4of4,0.0008108535
153,Nuclei.Nuclei_AreaShape_Extent,0.0008032789
661,Cells.Cells_AreaShape_Zernike_7_3,0.0008029296
668,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,0.00080273143
580,Nuclei.Nuclei_AreaShape_Zernike_7_5,0.0008023896
1183,Nuclei.Nuclei_Granularity_6_DNA,0.00080106116
870,Cytoplasm.Cytoplasm_Correlation_RWC_ER_RNA,0.00080030446
1254,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_AGP_1of4,0.00079606543
1261,Nuclei.Nuclei_Granularity_5_ER,0.0007868349
859,Nuclei.Nuclei_AreaShape_Zernike_9_5,0.00078381825
616,Nuclei.Nuclei_AreaShape_Solidity,0.00078338163
581,Nuclei.Nuclei_RadialDistribution_MeanFrac_AGP_2of4,0.00078331976
310,Nuclei.Nuclei_RadialDistribution_MeanFrac_DNA_2of4,0.0007768393
1177,Nuclei.Nuclei_Granularity_2_ER,0.0007764658
969,Nuclei.Nuclei_AreaShape_Zernike_3_1,0.0007711421
1144,Cytoplasm.Cytoplasm_Correlation_RWC_Mito_RNA,0.0007569554
1192,Nuclei.Nuclei_AreaShape_Zernike_8_4,0.000754941
404,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_Mito_1of4,0.00074227987
80,Cytoplasm.Cytoplasm_Correlation_RWC_Brightfield_DNA,0.00074189325
75,Cells.Cells_Correlation_RWC_DNA_AGP,0.00074176426
68,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_Brightfield_3of4,0.0007415045
773,Nuclei.Nuclei_Correlation_RWC_RNA_Brightfield,0.0007336031
1167,Cytoplasm.Cytoplasm_Correlation_Overlap_DNA_ER,0.00071825023
990,Cytoplasm.Cytoplasm_Granularity_3_ER,0.0007180311
784,Nuclei.Nuclei_RadialDistribution_MeanFrac_DNA_3of4,0.0007052866
340,Nuclei.Nuclei_AreaShape_Zernike_4_4,0.00070463977
275,Nuclei.Nuclei_Granularity_16_DNA,0.00070089404
360,Cytoplasm.Cytoplasm_Correlation_K_AGP_ER,0.0006999543
113,Cytoplasm.Cytoplasm_Correlation_RWC_AGP_ER,0.0006992618
299,Nuclei.Nuclei_AreaShape_Zernike_3_3,0.0006985969
693,Nuclei.Nuclei_Intensity_MassDisplacement_DNA,0.00069260626
1230,Nuclei.Nuclei_Correlation_RWC_ER_RNA,0.0006924378
412,Cells.Cells_Intensity_MinIntensityEdge_Brightfield,0.00068955484
1138,Cells.Cells_Correlation_RWC_AGP_RNA,0.0006894228
134,Cells.Cells_Granularity_1_ER,0.000688466
572,Nuclei.Nuclei_Granularity_9_ER,0.00068805745
821,Cells.Cells_RadialDistribution_FracAtD_Mito_3of4,0.00068414735
1246,Nuclei.Nuclei_RadialDistribution_RadialCV_AGP_2of4,0.0006834455
622,Cytoplasm.Cytoplasm_Correlation_K_AGP_DNA,0.0006819159
1022,Nuclei.Nuclei_Correlation_RWC_AGP_Mito,0.0006795218
654,Nuclei.Nuclei_Correlation_RWC_Mito_Brightfield,0.00067441026
1056,Nuclei.Nuclei_RadialDistribution_FracAtD_Brightfield_1of4,0.00066935725
210,Cells.Cells_Granularity_1_Mito,0.0006685179
980,Cytoplasm.Cytoplasm_Correlation_Overlap_DNA_Mito,0.00066180946
791,Nuclei.Nuclei_RadialDistribution_MeanFrac_Mito_3of4,0.00066097075
945,Nuclei.Nuclei_Intensity_IntegratedIntensityEdge_Brightfield,0.0006557455
1174,Cells.Cells_Granularity_3_RNA,0.00065353984
