,FeatureNames,Saliency
109,Nuclei.Nuclei_RadialDistribution_RadialCV_Brightfield_1of4,0.0021765877
526,Cytoplasm.Cytoplasm_Intensity_MinIntensity_Brightfield,0.0015400075
627,Cytoplasm.Cytoplasm_Correlation_Overlap_ER_RNA,0.0012780436
1126,Cells.Cells_Intensity_MinIntensity_Brightfield,0.0012102545
476,Nuclei.Nuclei_Intensity_MADIntensity_Brightfield,0.0011641593
624,Cells.Cells_Correlation_Overlap_ER_RNA,0.0011319949
277,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_4of4,0.0010957601
356,Cytoplasm.Cytoplasm_Intensity_StdIntensity_Brightfield,0.0010910198
1029,Nuclei.Nuclei_Granularity_2_Brightfield,0.0010785122
1202,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,0.0010582784
94,Nuclei.Nuclei_AreaShape_Zernike_6_4,0.0010513151
662,Cells.Cells_Intensity_StdIntensityEdge_Brightfield,0.0010356171
148,Cytoplasm.Cytoplasm_Intensity_MinIntensityEdge_Brightfield,0.0010027809
371,Nuclei.Nuclei_AreaShape_Zernike_6_6,0.0009934015
855,Cells.Cells_Intensity_MADIntensity_Brightfield,0.0009412597
321,Nuclei.Nuclei_RadialDistribution_RadialCV_Brightfield_2of4,0.00093236065
1140,Cells.Cells_Granularity_1_Brightfield,0.0009211727
1296,Cytoplasm.Cytoplasm_Granularity_1_Brightfield,0.0008883054
957,Nuclei.Nuclei_Correlation_RWC_RNA_AGP,0.0008639921
1002,Nuclei.Nuclei_Granularity_1_Brightfield,0.00086036907
547,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_2of4,0.0008343781
412,Cells.Cells_Intensity_MinIntensityEdge_Brightfield,0.0008287303
330,Cytoplasm.Cytoplasm_Granularity_1_ER,0.0008069083
700,Nuclei.Nuclei_Intensity_StdIntensity_Brightfield,0.0008019602
668,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,0.0008007507
948,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_3of4,0.00079995696
270,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,0.0007909244
245,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_4of4,0.0007659436
707,Nuclei.Nuclei_Correlation_RWC_RNA_Mito,0.0007615192
996,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_2of4,0.00074829964
340,Nuclei.Nuclei_AreaShape_Zernike_4_4,0.00074478355
364,Cytoplasm.Cytoplasm_AreaShape_FormFactor,0.00074307073
170,Cytoplasm.Cytoplasm_Granularity_1_RNA,0.000737088
420,Cells.Cells_RadialDistribution_RadialCV_Brightfield_1of4,0.0007314297
116,Cells.Cells_RadialDistribution_RadialCV_Mito_4of4,0.0007259327
1144,Cytoplasm.Cytoplasm_Correlation_RWC_Mito_RNA,0.00072418916
537,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_4of4,0.00070902356
373,Nuclei.Nuclei_Correlation_RWC_AGP_RNA,0.0006934805
298,Nuclei.Nuclei_Correlation_Correlation_DNA_RNA,0.0006872252
910,Cells.Cells_Correlation_RWC_Mito_RNA,0.00068388926
470,Cytoplasm.Cytoplasm_Correlation_RWC_Mito_ER,0.00066638045
287,Nuclei.Nuclei_AreaShape_Zernike_7_7,0.0006474483
815,Cytoplasm.Cytoplasm_Correlation_RWC_AGP_RNA,0.00064009265
27,Cytoplasm.Cytoplasm_Intensity_MassDisplacement_ER,0.00063679036
461,Cytoplasm.Cytoplasm_Correlation_Correlation_Mito_RNA,0.0006264222
1295,Cytoplasm.Cytoplasm_Intensity_MaxIntensity_ER,0.0006248111
1132,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_AGP,0.0006238876
131,Cells.Cells_Intensity_MassDisplacement_Brightfield,0.00061348436
453,Cells.Cells_Correlation_Correlation_ER_RNA,0.0006031769
30,Cytoplasm.Cytoplasm_Intensity_StdIntensityEdge_Brightfield,0.00059621915
932,Cells.Cells_AreaShape_Zernike_8_2,0.00058706134
331,Cells.Cells_Granularity_1_RNA,0.00058055174
74,Cytoplasm.Cytoplasm_Intensity_MADIntensity_Brightfield,0.0005785809
1004,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_Brightfield_2of4,0.00057803985
1193,Cytoplasm.Cytoplasm_Granularity_10_Mito,0.00057703507
141,Cells.Cells_Intensity_MADIntensity_ER,0.0005759759
366,Cytoplasm.Cytoplasm_Granularity_1_AGP,0.0005738691
993,Cells.Cells_Granularity_2_RNA,0.00057109416
348,Nuclei.Nuclei_Intensity_MassDisplacement_Mito,0.00056361675
1302,Nuclei.Nuclei_Correlation_RWC_DNA_Mito,0.00056217524
1068,Cells.Cells_Intensity_MaxIntensity_ER,0.00055982906
1009,Nuclei.Nuclei_RadialDistribution_RadialCV_ER_4of4,0.0005579692
545,Cytoplasm.Cytoplasm_Intensity_MassDisplacement_Mito,0.00055727205
421,Cells.Cells_RadialDistribution_RadialCV_ER_3of4,0.00055296614
596,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,0.0005518952
961,Cells.Cells_RadialDistribution_RadialCV_Mito_1of4,0.0005513128
196,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_3of4,0.00054361264
1168,Nuclei.Nuclei_AreaShape_Zernike_5_5,0.00054299453
29,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_Brightfield_3of4,0.00053831155
946,Cytoplasm.Cytoplasm_Correlation_RWC_Brightfield_AGP,0.00053078483
1088,Cytoplasm.Cytoplasm_Intensity_MassDisplacement_Brightfield,0.0005291901
327,Cytoplasm.Cytoplasm_Intensity_MADIntensity_DNA,0.00052901666
64,Cells.Cells_Granularity_2_AGP,0.00052563596
391,Cells.Cells_RadialDistribution_MeanFrac_Mito_1of4,0.0005242954
550,Nuclei.Nuclei_RadialDistribution_FracAtD_ER_3of4,0.0005221606
795,Cytoplasm.Cytoplasm_Granularity_3_AGP,0.0005221028
414,Cells.Cells_Granularity_2_Mito,0.0005150397
9,Cells.Cells_RadialDistribution_RadialCV_DNA_4of4,0.0005058985
206,Cytoplasm.Cytoplasm_Granularity_2_AGP,0.0004979017
568,Nuclei.Nuclei_RadialDistribution_FracAtD_RNA_3of4,0.0004940462
674,Nuclei.Nuclei_AreaShape_Zernike_1_1,0.00049389945
701,Cells.Cells_Correlation_RWC_RNA_AGP,0.00048986095
118,Cells.Cells_Granularity_2_Brightfield,0.00048982276
976,Nuclei.Nuclei_Intensity_MassDisplacement_ER,0.00048630888
1230,Nuclei.Nuclei_Correlation_RWC_ER_RNA,0.00048044053
903,Nuclei.Nuclei_Granularity_1_ER,0.00047967484
1200,Cytoplasm.Cytoplasm_Correlation_Correlation_ER_RNA,0.00047768833
139,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,0.00047687697
134,Cells.Cells_Granularity_1_ER,0.0004705525
881,Nuclei.Nuclei_Intensity_MADIntensity_ER,0.00046981472
474,Cells.Cells_Intensity_MinIntensity_ER,0.00046616324
731,Nuclei.Nuclei_Intensity_MinIntensity_Brightfield,0.0004655198
68,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_Brightfield_3of4,0.0004630183
424,Nuclei.Nuclei_AreaShape_Zernike_4_0,0.00046287224
875,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_AGP_4of4,0.000457763
472,Nuclei.Nuclei_Correlation_RWC_ER_Brightfield,0.00045772683
226,Cytoplasm.Cytoplasm_Intensity_MedianIntensity_ER,0.0004563906
1099,Cytoplasm.Cytoplasm_Intensity_MADIntensity_ER,0.00045596968
754,Nuclei.Nuclei_AreaShape_Zernike_8_8,0.00045563348
811,Nuclei.Nuclei_RadialDistribution_RadialCV_RNA_4of4,0.00045213
46,Cytoplasm.Cytoplasm_Intensity_MinIntensityEdge_ER,0.0004521017
1195,Cells.Cells_Granularity_10_Mito,0.00045002144
307,Cells.Cells_RadialDistribution_MeanFrac_Brightfield_1of4,0.00044842754
721,Cells.Cells_Neighbors_AngleBetweenNeighbors_Adjacent,0.00044593323
1219,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_Mito_4of4,0.00044560147
314,Nuclei.Nuclei_Correlation_Correlation_AGP_Brightfield,0.00044538372
1163,Cells.Cells_AreaShape_Zernike_1_1,0.0004448374
435,Nuclei.Nuclei_Correlation_RWC_Mito_ER,0.0004437656
823,Nuclei.Nuclei_RadialDistribution_RadialCV_Brightfield_3of4,0.00044357366
638,Nuclei.Nuclei_Granularity_2_Mito,0.00044345442
1052,Cytoplasm.Cytoplasm_Correlation_RWC_AGP_Brightfield,0.00043626217
689,Nuclei.Nuclei_Correlation_RWC_ER_AGP,0.0004351312
1023,Nuclei.Nuclei_RadialDistribution_RadialCV_RNA_3of4,0.00043266738
1247,Cytoplasm.Cytoplasm_Correlation_Manders_ER_RNA,0.000431097
1192,Nuclei.Nuclei_AreaShape_Zernike_8_4,0.00042931898
1138,Cells.Cells_Correlation_RWC_AGP_RNA,0.00042911698
401,Nuclei.Nuclei_Correlation_Correlation_DNA_Mito,0.0004284683
833,Nuclei.Nuclei_Correlation_Manders_Mito_ER,0.00042773207
98,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_Brightfield_4of4,0.00042442893
805,Cells.Cells_Granularity_9_AGP,0.00042336102
945,Nuclei.Nuclei_Intensity_IntegratedIntensityEdge_Brightfield,0.00042069907
492,Cells.Cells_Correlation_Manders_DNA_AGP,0.00041580823
70,Cytoplasm.Cytoplasm_Intensity_LowerQuartileIntensity_ER,0.00041484484
1178,Cells.Cells_AreaShape_Zernike_2_0,0.0004147664
669,Nuclei.Nuclei_Granularity_10_Mito,0.00041180575
868,Cells.Cells_Granularity_1_AGP,0.00041095607
992,Nuclei.Nuclei_RadialDistribution_FracAtD_ER_4of4,0.0004106743
152,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_Brightfield_2of4,0.00040563836
990,Cytoplasm.Cytoplasm_Granularity_3_ER,0.00040469083
644,Nuclei.Nuclei_Correlation_Correlation_Mito_RNA,0.00040445753
1237,Cells.Cells_RadialDistribution_FracAtD_Mito_1of4,0.00040437185
33,Cytoplasm.Cytoplasm_AreaShape_Extent,0.00040399944
293,Nuclei.Nuclei_Granularity_1_DNA,0.00040285024
745,Cytoplasm.Cytoplasm_Intensity_MinIntensity_ER,0.00040264532
1212,Nuclei.Nuclei_RadialDistribution_RadialCV_AGP_1of4,0.00040012648
804,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_AGP_3of4,0.0003996733
704,Cells.Cells_Intensity_StdIntensity_Brightfield,0.00039896497
1083,Nuclei.Nuclei_Granularity_4_DNA,0.00039456034
897,Cells.Cells_Correlation_RWC_ER_AGP,0.0003936544
819,Nuclei.Nuclei_Correlation_RWC_AGP_ER,0.00039346545
1100,Cells.Cells_Intensity_MassDisplacement_ER,0.0003905425
368,Cells.Cells_RadialDistribution_MeanFrac_Brightfield_3of4,0.0003885561
1177,Nuclei.Nuclei_Granularity_2_ER,0.00038818887
1249,Cells.Cells_Intensity_MinIntensityEdge_AGP,0.0003880513
773,Nuclei.Nuclei_Correlation_RWC_RNA_Brightfield,0.0003879306
416,Cells.Cells_RadialDistribution_MeanFrac_Mito_2of4,0.00038721156
625,Nuclei.Nuclei_Intensity_StdIntensityEdge_ER,0.00038638263
190,Nuclei.Nuclei_AreaShape_Area,0.00038440558
802,Cytoplasm.Cytoplasm_Intensity_MinIntensityEdge_RNA,0.00038340894
1282,Cells.Cells_RadialDistribution_RadialCV_Mito_3of4,0.00038085974
225,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_1of4,0.00038013194
1203,Cytoplasm.Cytoplasm_Correlation_RWC_RNA_AGP,0.00037969774
1014,Nuclei.Nuclei_Correlation_K_RNA_Mito,0.00037638817
35,Cells.Cells_AreaShape_Zernike_5_3,0.00037554879
169,Cells.Cells_AreaShape_Compactness,0.00037314233
1136,Cytoplasm.Cytoplasm_Granularity_4_Brightfield,0.00037062698
566,Cytoplasm.Cytoplasm_AreaShape_Zernike_6_6,0.00036947435
1020,Nuclei.Nuclei_RadialDistribution_MeanFrac_RNA_2of4,0.00036787678
727,Nuclei.Nuclei_AreaShape_Zernike_9_9,0.00036702
832,Cells.Cells_Granularity_9_Brightfield,0.00036573186
460,Nuclei.Nuclei_Correlation_K_ER_RNA,0.000364869
597,Nuclei.Nuclei_AreaShape_Orientation,0.0003646895
902,Cells.Cells_RadialDistribution_RadialCV_AGP_2of4,0.00036295812
229,Nuclei.Nuclei_Granularity_3_DNA,0.00036102734
723,Cells.Cells_Granularity_5_Brightfield,0.00036063965
890,Nuclei.Nuclei_Granularity_12_Brightfield,0.0003589903
1280,Nuclei.Nuclei_AreaShape_Zernike_9_3,0.00035543053
877,Nuclei.Nuclei_Intensity_StdIntensityEdge_Mito,0.000355078
516,Cells.Cells_Intensity_MassDisplacement_RNA,0.00035400834
286,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_RNA_2of4,0.0003534491
765,Cells.Cells_RadialDistribution_FracAtD_Mito_2of4,0.0003529998
1257,Nuclei.Nuclei_Granularity_6_AGP,0.0003518779
980,Cytoplasm.Cytoplasm_Correlation_Overlap_DNA_Mito,0.0003515027
861,Cells.Cells_Intensity_MinIntensityEdge_ER,0.00035141016
538,Cytoplasm.Cytoplasm_Granularity_2_RNA,0.00035024364
822,Cytoplasm.Cytoplasm_Correlation_K_Brightfield_AGP,0.0003487551
677,Cytoplasm.Cytoplasm_AreaShape_Solidity,0.00034805707
96,Cytoplasm.Cytoplasm_Correlation_RWC_Brightfield_ER,0.0003470369
706,Nuclei.Nuclei_Intensity_MassDisplacement_AGP,0.00034701286
620,Cells.Cells_AreaShape_Zernike_8_8,0.00034514407
834,Cells.Cells_RadialDistribution_RadialCV_ER_4of4,0.00034463333
454,Cytoplasm.Cytoplasm_Intensity_StdIntensityEdge_AGP,0.000344431
361,Cells.Cells_AreaShape_Zernike_9_9,0.0003437862
342,Cells.Cells_Intensity_MassDisplacement_Mito,0.000342185
218,Cytoplasm.Cytoplasm_Correlation_Manders_Mito_Brightfield,0.00034201145
450,Nuclei.Nuclei_Intensity_UpperQuartileIntensity_ER,0.0003415499
167,Cells.Cells_Correlation_Manders_Mito_ER,0.00034053708
1210,Cells.Cells_Granularity_4_Brightfield,0.00034014112
850,Cells.Cells_AreaShape_FormFactor,0.00033828118
341,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_3of4,0.00033793118
288,Cytoplasm.Cytoplasm_Correlation_Manders_DNA_Brightfield,0.0003377346
297,Nuclei.Nuclei_Granularity_2_AGP,0.00033765926
791,Nuclei.Nuclei_RadialDistribution_MeanFrac_Mito_3of4,0.0003354378
1187,Nuclei.Nuclei_Granularity_12_AGP,0.00033538026
359,Nuclei.Nuclei_RadialDistribution_MeanFrac_RNA_4of4,0.00033432
854,Nuclei.Nuclei_Granularity_7_AGP,0.00033431136
857,Nuclei.Nuclei_RadialDistribution_MeanFrac_RNA_1of4,0.00033424108
276,Cells.Cells_Intensity_LowerQuartileIntensity_DNA,0.00033363447
1087,Nuclei.Nuclei_Intensity_MassDisplacement_RNA,0.00033058046
636,Cytoplasm.Cytoplasm_Intensity_UpperQuartileIntensity_ER,0.0003292574
458,Cells.Cells_Intensity_StdIntensityEdge_Mito,0.0003283329
1288,Nuclei.Nuclei_Correlation_RWC_Brightfield_RNA,0.0003276472
938,Nuclei.Nuclei_RadialDistribution_FracAtD_RNA_4of4,0.00032761847
1194,Cells.Cells_RadialDistribution_MeanFrac_Brightfield_2of4,0.0003256422
279,Cytoplasm.Cytoplasm_Correlation_RWC_Mito_Brightfield,0.00032482136
838,Nuclei.Nuclei_Granularity_7_Mito,0.00032444228
1078,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_3of4,0.00032372176
1006,Nuclei.Nuclei_Correlation_RWC_RNA_DNA,0.0003230034
1079,Cytoplasm.Cytoplasm_Intensity_MaxIntensity_Brightfield,0.00032276026
89,Nuclei.Nuclei_Intensity_StdIntensity_Mito,0.0003209284
480,Cells.Cells_Intensity_MinIntensity_RNA,0.00031862693
56,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_ER_3of4,0.00031808898
863,Nuclei.Nuclei_RadialDistribution_MeanFrac_Mito_1of4,0.0003163905
99,Cells.Cells_Granularity_7_Mito,0.00031632674
47,Cells.Cells_Neighbors_PercentTouching_Adjacent,0.00031630733
920,Cytoplasm.Cytoplasm_Granularity_2_Mito,0.00031624187
100,Cytoplasm.Cytoplasm_Granularity_9_AGP,0.00031589792
155,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_AGP_2of4,0.0003148426
1038,Nuclei.Nuclei_Correlation_Overlap_ER_RNA,0.00031432914
111,Cytoplasm.Cytoplasm_Correlation_Correlation_AGP_Brightfield,0.0003139231
262,Cytoplasm.Cytoplasm_AreaShape_Zernike_5_3,0.0003138794
45,Nuclei.Nuclei_Correlation_RWC_RNA_ER,0.00031171922
774,Cells.Cells_Correlation_Manders_DNA_ER,0.00031155194
858,Cytoplasm.Cytoplasm_Granularity_9_ER,0.00031069157
495,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_RNA_3of4,0.00030991205
1270,Cytoplasm.Cytoplasm_Correlation_K_ER_Brightfield,0.0003097998
944,Cells.Cells_AreaShape_Zernike_9_5,0.00030821937
613,Nuclei.Nuclei_AreaShape_Zernike_4_2,0.00030726913
1077,Cells.Cells_RadialDistribution_RadialCV_ER_1of4,0.000306845
283,Cells.Cells_Correlation_Manders_DNA_Mito,0.00030671162
517,Cells.Cells_RadialDistribution_RadialCV_RNA_3of4,0.00030565856
859,Nuclei.Nuclei_AreaShape_Zernike_9_5,0.00030542238
979,Cells.Cells_Correlation_RWC_Brightfield_ER,0.0003047862
687,Cells.Cells_Neighbors_NumberOfNeighbors_Adjacent,0.00030429967
263,Cytoplasm.Cytoplasm_Granularity_8_AGP,0.00030393567
1188,Nuclei.Nuclei_Granularity_7_DNA,0.0003035988
629,Nuclei.Nuclei_Intensity_MADIntensity_DNA,0.0003028386
374,Nuclei.Nuclei_AreaShape_MinFeretDiameter,0.0003025572
797,Cells.Cells_Correlation_RWC_Mito_ER,0.0003009901
1060,Cells.Cells_Intensity_UpperQuartileIntensity_ER,0.00030039097
1063,Cytoplasm.Cytoplasm_Correlation_RWC_AGP_DNA,0.0003002632
737,Cytoplasm.Cytoplasm_Correlation_K_RNA_Mito,0.00029934742
1312,Cytoplasm.Cytoplasm_AreaShape_Zernike_6_2,0.00029888345
403,Cells.Cells_RadialDistribution_RadialCV_ER_2of4,0.00029873557
1165,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_4of4,0.00029683288
299,Nuclei.Nuclei_AreaShape_Zernike_3_3,0.00029656905
572,Nuclei.Nuclei_Granularity_9_ER,0.00029651856
78,Nuclei.Nuclei_Intensity_MinIntensityEdge_ER,0.00029598305
711,Nuclei.Nuclei_AreaShape_Zernike_5_3,0.00029329653
1157,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_Brightfield_4of4,0.00029301984
208,Cells.Cells_Neighbors_FirstClosestDistance_Adjacent,0.00029198214
586,Cells.Cells_RadialDistribution_RadialCV_DNA_1of4,0.000291321
1091,Nuclei.Nuclei_Correlation_K_RNA_ER,0.0002907368
1169,Cells.Cells_Intensity_MaxIntensity_Brightfield,0.0002894913
489,Nuclei.Nuclei_Granularity_1_RNA,0.0002885365
72,Cytoplasm.Cytoplasm_Intensity_UpperQuartileIntensity_DNA,0.00028796575
