,FeatureNames,Saliency
1202,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,0.00091599196
707,Nuclei.Nuclei_Correlation_RWC_RNA_Mito,0.0005977977
1302,Nuclei.Nuclei_Correlation_RWC_DNA_Mito,0.0005890739
934,Nuclei.Nuclei_Granularity_8_DNA,0.0005860133
314,Nuclei.Nuclei_Correlation_Correlation_AGP_Brightfield,0.00057245215
596,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,0.000555549
668,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,0.0005093843
933,Cytoplasm.Cytoplasm_Granularity_4_ER,0.0004663644
131,Cells.Cells_Intensity_MassDisplacement_Brightfield,0.0004468475
789,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_2of4,0.00044140272
244,Cells.Cells_RadialDistribution_MeanFrac_Brightfield_4of4,0.00043020616
312,Nuclei.Nuclei_Granularity_14_DNA,0.00042212155
368,Cells.Cells_RadialDistribution_MeanFrac_Brightfield_3of4,0.00040747377
358,Cells.Cells_Correlation_RWC_AGP_ER,0.00038592928
327,Cytoplasm.Cytoplasm_Intensity_MADIntensity_DNA,0.00038135346
318,Cells.Cells_Granularity_4_ER,0.00036890406
644,Nuclei.Nuclei_Correlation_Correlation_Mito_RNA,0.00036793604
1132,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_AGP,0.0003657887
1203,Cytoplasm.Cytoplasm_Correlation_RWC_RNA_AGP,0.0003646719
963,Cytoplasm.Cytoplasm_AreaShape_Zernike_4_0,0.00034675587
1136,Cytoplasm.Cytoplasm_Granularity_4_Brightfield,0.00033863573
297,Nuclei.Nuclei_Granularity_2_AGP,0.00033664636
925,Cells.Cells_AreaShape_Zernike_4_4,0.0003328138
763,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_RNA,0.00033041355
859,Nuclei.Nuclei_AreaShape_Zernike_9_5,0.00032776527
534,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_DNA_1of4,0.00032754883
430,Cytoplasm.Cytoplasm_Granularity_10_RNA,0.0003252847
380,Cytoplasm.Cytoplasm_Correlation_Correlation_DNA_ER,0.00032497616
794,Cells.Cells_RadialDistribution_RadialCV_AGP_4of4,0.00032392607
151,Nuclei.Nuclei_RadialDistribution_RadialCV_ER_3of4,0.00032193965
1012,Cytoplasm.Cytoplasm_Intensity_MADIntensity_AGP,0.00031961658
568,Nuclei.Nuclei_RadialDistribution_FracAtD_RNA_3of4,0.00031510286
57,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_ER_1of4,0.0003140212
523,Nuclei.Nuclei_RadialDistribution_RadialCV_ER_1of4,0.00031200887
431,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_ER,0.00030959107
609,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_DNA_2of4,0.00030386425
564,Nuclei.Nuclei_Granularity_1_AGP,0.0003037725
947,Nuclei.Nuclei_RadialDistribution_RadialCV_ER_2of4,0.0003030854
642,Cells.Cells_AreaShape_Zernike_8_4,0.00030218193
791,Nuclei.Nuclei_RadialDistribution_MeanFrac_Mito_3of4,0.0003017069
868,Cells.Cells_Granularity_1_AGP,0.00030170396
366,Cytoplasm.Cytoplasm_Granularity_1_AGP,0.000299817
298,Nuclei.Nuclei_Correlation_Correlation_DNA_RNA,0.00029752546
896,Cells.Cells_Correlation_RWC_DNA_ER,0.00029747607
897,Cells.Cells_Correlation_RWC_ER_AGP,0.00029665156
931,Cytoplasm.Cytoplasm_AreaShape_Zernike_8_8,0.000294301
1194,Cells.Cells_RadialDistribution_MeanFrac_Brightfield_2of4,0.00029039884
310,Nuclei.Nuclei_RadialDistribution_MeanFrac_DNA_2of4,0.00028811092
27,Cytoplasm.Cytoplasm_Intensity_MassDisplacement_ER,0.0002876276
1219,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_Mito_4of4,0.00028593576
492,Cells.Cells_Correlation_Manders_DNA_AGP,0.0002837652
377,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_ER_2of4,0.0002820044
116,Cells.Cells_RadialDistribution_RadialCV_Mito_4of4,0.00028112245
9,Cells.Cells_RadialDistribution_RadialCV_DNA_4of4,0.00027743046
198,Nuclei.Nuclei_Correlation_RWC_DNA_AGP,0.00027719038
