,FeatureNames,Saliency
1202,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,0.0009390695
139,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,0.0009222718
611,Nuclei.Nuclei_Granularity_5_DNA,0.0009133059
270,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,0.00087445957
229,Nuclei.Nuclei_Granularity_3_DNA,0.00086743856
366,Cytoplasm.Cytoplasm_Granularity_1_AGP,0.0008241032
757,Nuclei.Nuclei_Granularity_13_DNA,0.00080446946
707,Nuclei.Nuclei_Correlation_RWC_RNA_Mito,0.0007663784
314,Nuclei.Nuclei_Correlation_Correlation_AGP_Brightfield,0.00076196884
868,Cells.Cells_Granularity_1_AGP,0.0007603494
947,Nuclei.Nuclei_RadialDistribution_RadialCV_ER_2of4,0.00075623504
372,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_2of4,0.0007542114
643,Nuclei.Nuclei_AreaShape_Zernike_8_6,0.0007530325
568,Nuclei.Nuclei_RadialDistribution_FracAtD_RNA_3of4,0.0007411435
151,Nuclei.Nuclei_RadialDistribution_RadialCV_ER_3of4,0.00073636917
232,Nuclei.Nuclei_RadialDistribution_MeanFrac_RNA_3of4,0.0007291745
754,Nuclei.Nuclei_AreaShape_Zernike_8_8,0.0007056159
815,Cytoplasm.Cytoplasm_Correlation_RWC_AGP_RNA,0.0007024546
1230,Nuclei.Nuclei_Correlation_RWC_ER_RNA,0.0007020166
1188,Nuclei.Nuclei_Granularity_7_DNA,0.0006599924
575,Nuclei.Nuclei_Granularity_2_DNA,0.00064949796
358,Cells.Cells_Correlation_RWC_AGP_ER,0.0006448786
550,Nuclei.Nuclei_RadialDistribution_FracAtD_ER_3of4,0.00064440625
520,Nuclei.Nuclei_RadialDistribution_MeanFrac_ER_3of4,0.0006443117
373,Nuclei.Nuclei_Correlation_RWC_AGP_RNA,0.0006432583
116,Cells.Cells_RadialDistribution_RadialCV_Mito_4of4,0.0006318747
45,Nuclei.Nuclei_Correlation_RWC_RNA_ER,0.0006293333
697,Nuclei.Nuclei_Correlation_RWC_DNA_RNA,0.00062461843
727,Nuclei.Nuclei_AreaShape_Zernike_9_9,0.0006225762
401,Nuclei.Nuclei_Correlation_Correlation_DNA_Mito,0.0006163181
537,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_4of4,0.0006140847
1006,Nuclei.Nuclei_Correlation_RWC_RNA_DNA,0.00061216915
435,Nuclei.Nuclei_Correlation_RWC_Mito_ER,0.0006107596
564,Nuclei.Nuclei_Granularity_1_AGP,0.00060653395
371,Nuclei.Nuclei_AreaShape_Zernike_6_6,0.0006042156
94,Nuclei.Nuclei_AreaShape_Zernike_6_4,0.0005883558
277,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_4of4,0.00058278453
1050,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_AGP_4of4,0.0005748279
996,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_2of4,0.00056376104
871,Cytoplasm.Cytoplasm_Granularity_2_ER,0.0005633042
1192,Nuclei.Nuclei_AreaShape_Zernike_8_4,0.0005616437
368,Cells.Cells_RadialDistribution_MeanFrac_Brightfield_3of4,0.0005613501
293,Nuclei.Nuclei_Granularity_1_DNA,0.0005603278
948,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_3of4,0.00055607664
596,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,0.0005479497
1219,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_Mito_4of4,0.0005416892
424,Nuclei.Nuclei_AreaShape_Zernike_4_0,0.00054031063
1132,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_AGP,0.0005393501
711,Nuclei.Nuclei_AreaShape_Zernike_5_3,0.0005393439
985,Cells.Cells_Neighbors_SecondClosestDistance_Adjacent,0.0005370851
642,Cells.Cells_AreaShape_Zernike_8_4,0.0005330657
128,Nuclei.Nuclei_RadialDistribution_MeanFrac_ER_4of4,0.0005303971
734,Cells.Cells_Correlation_RWC_DNA_Brightfield,0.00052307406
721,Cells.Cells_Neighbors_AngleBetweenNeighbors_Adjacent,0.0005189705
674,Nuclei.Nuclei_AreaShape_Zernike_1_1,0.00051035255
1288,Nuclei.Nuclei_Correlation_RWC_Brightfield_RNA,0.0005089588
1203,Cytoplasm.Cytoplasm_Correlation_RWC_RNA_AGP,0.00050154905
1012,Cytoplasm.Cytoplasm_Intensity_MADIntensity_AGP,0.0005000409
115,Nuclei.Nuclei_Intensity_MassDisplacement_Brightfield,0.0004988818
287,Nuclei.Nuclei_AreaShape_Zernike_7_7,0.0004961513
509,Nuclei.Nuclei_RadialDistribution_FracAtD_DNA_2of4,0.00049475644
810,Cells.Cells_AreaShape_Zernike_0_0,0.00049464754
34,Cytoplasm.Cytoplasm_Correlation_RWC_Mito_DNA,0.00048658974
957,Nuclei.Nuclei_Correlation_RWC_RNA_AGP,0.00048458428
531,Cytoplasm.Cytoplasm_Granularity_8_ER,0.0004809459
523,Nuclei.Nuclei_RadialDistribution_RadialCV_ER_1of4,0.0004735423
974,Nuclei.Nuclei_Correlation_RWC_ER_DNA,0.00046407196
1168,Nuclei.Nuclei_AreaShape_Zernike_5_5,0.00046308662
1009,Nuclei.Nuclei_RadialDistribution_RadialCV_ER_4of4,0.00046209525
150,Nuclei.Nuclei_RadialDistribution_MeanFrac_ER_2of4,0.00046122176
679,Cells.Cells_Granularity_2_ER,0.00046107188
545,Cytoplasm.Cytoplasm_Intensity_MassDisplacement_Mito,0.00045561834
784,Nuclei.Nuclei_RadialDistribution_MeanFrac_DNA_3of4,0.00045505524
1023,Nuclei.Nuclei_RadialDistribution_RadialCV_RNA_3of4,0.00045369085
819,Nuclei.Nuclei_Correlation_RWC_AGP_ER,0.00045255467
340,Nuclei.Nuclei_AreaShape_Zernike_4_4,0.00044949556
791,Nuclei.Nuclei_RadialDistribution_MeanFrac_Mito_3of4,0.000449178
355,Cells.Cells_RadialDistribution_MeanFrac_ER_3of4,0.00044895467
346,Cytoplasm.Cytoplasm_Parent_Nuclei,0.00044747925
359,Nuclei.Nuclei_RadialDistribution_MeanFrac_RNA_4of4,0.0004438828
101,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_AGP_2of4,0.0004422703
551,Cytoplasm.Cytoplasm_Number_Object_Number,0.0004349929
759,Nuclei.Nuclei_Correlation_RWC_ER_Mito,0.00043495218
352,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_AGP_1of4,0.00043431474
299,Nuclei.Nuclei_AreaShape_Zernike_3_3,0.0004312686
993,Cells.Cells_Granularity_2_RNA,0.00042872978
170,Cytoplasm.Cytoplasm_Granularity_1_RNA,0.0004285779
1207,Nuclei.Nuclei_AreaShape_EulerNumber,0.00042598663
897,Cells.Cells_Correlation_RWC_ER_AGP,0.00042198086
225,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_1of4,0.00042186797
896,Cells.Cells_Correlation_RWC_DNA_ER,0.0004203491
662,Cells.Cells_Intensity_StdIntensityEdge_Brightfield,0.00042007692
615,Cells.Cells_RadialDistribution_FracAtD_ER_3of4,0.00041990913
30,Cytoplasm.Cytoplasm_Intensity_StdIntensityEdge_Brightfield,0.0004197696
169,Cells.Cells_AreaShape_Compactness,0.00041928826
57,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_ER_1of4,0.0004152659
862,Cells.Cells_Granularity_8_ER,0.00041508346
113,Cytoplasm.Cytoplasm_Correlation_RWC_AGP_ER,0.00041459358
992,Nuclei.Nuclei_RadialDistribution_FracAtD_ER_4of4,0.0004129894
9,Cells.Cells_RadialDistribution_RadialCV_DNA_4of4,0.0004129727
364,Cytoplasm.Cytoplasm_AreaShape_FormFactor,0.00041096073
1078,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_3of4,0.00040721626
1277,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_AGP_3of4,0.00040478806
773,Nuclei.Nuclei_Correlation_RWC_RNA_Brightfield,0.00040369376
387,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_ER_2of4,0.0004025933
976,Nuclei.Nuclei_Intensity_MassDisplacement_ER,0.00040231188
612,Cells.Cells_Granularity_11_AGP,0.00040220754
794,Cells.Cells_RadialDistribution_RadialCV_AGP_4of4,0.00040141455
1227,Nuclei.Nuclei_Correlation_Overlap_DNA_RNA,0.00039722375
298,Nuclei.Nuclei_Correlation_Correlation_DNA_RNA,0.00039631256
386,Nuclei.Nuclei_Granularity_11_AGP,0.00039517612
127,Nuclei.Nuclei_Granularity_10_ER,0.0003881809
1140,Cells.Cells_Granularity_1_Brightfield,0.00038713653
668,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,0.0003858726
78,Nuclei.Nuclei_Intensity_MinIntensityEdge_ER,0.00038411387
644,Nuclei.Nuclei_Correlation_Correlation_Mito_RNA,0.00037730325
1113,Cells.Cells_Neighbors_FirstClosestObjectNumber_Adjacent,0.00037643613
910,Cells.Cells_Correlation_RWC_Mito_RNA,0.0003741631
1138,Cells.Cells_Correlation_RWC_AGP_RNA,0.00037389822
929,Cells.Cells_Parent_Nuclei,0.0003738972
1201,Cells.Cells_Neighbors_SecondClosestObjectNumber_Adjacent,0.00037134506
689,Nuclei.Nuclei_Correlation_RWC_ER_AGP,0.00036791668
152,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_Brightfield_2of4,0.0003679132
348,Nuclei.Nuclei_Intensity_MassDisplacement_Mito,0.00036760795
798,Nuclei.Nuclei_RadialDistribution_FracAtD_DNA_4of4,0.00036566544
305,Nuclei.Nuclei_RadialDistribution_RadialCV_AGP_3of4,0.0003650162
