,FeatureNames,Saliency
109,Nuclei.Nuclei_RadialDistribution_RadialCV_Brightfield_1of4,0.0030768353
1202,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,0.0030053405
1029,Nuclei.Nuclei_Granularity_2_Brightfield,0.00284987
707,Nuclei.Nuclei_Correlation_RWC_RNA_Mito,0.0027563008
611,Nuclei.Nuclei_Granularity_5_DNA,0.0023080513
616,Nuclei.Nuclei_AreaShape_Solidity,0.0022922745
321,Nuclei.Nuclei_RadialDistribution_RadialCV_Brightfield_2of4,0.0022547727
1188,Nuclei.Nuclei_Granularity_7_DNA,0.0021947157
711,Nuclei.Nuclei_AreaShape_Zernike_5_3,0.0020814766
526,Cytoplasm.Cytoplasm_Intensity_MinIntensity_Brightfield,0.001957219
118,Cells.Cells_Granularity_2_Brightfield,0.0018098719
547,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_2of4,0.0017822655
969,Nuclei.Nuclei_AreaShape_Zernike_3_1,0.0017351902
151,Nuclei.Nuclei_RadialDistribution_RadialCV_ER_3of4,0.0016816098
668,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,0.0016730934
453,Cells.Cells_Correlation_Correlation_ER_RNA,0.0016699214
287,Nuclei.Nuclei_AreaShape_Zernike_7_7,0.0016419886
139,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,0.0016408698
947,Nuclei.Nuclei_RadialDistribution_RadialCV_ER_2of4,0.0015656139
435,Nuclei.Nuclei_Correlation_RWC_Mito_ER,0.0015532086
1167,Cytoplasm.Cytoplasm_Correlation_Overlap_DNA_ER,0.0015264862
420,Cells.Cells_RadialDistribution_RadialCV_Brightfield_1of4,0.0015219462
1126,Cells.Cells_Intensity_MinIntensity_Brightfield,0.0015072789
378,Nuclei.Nuclei_Correlation_RWC_DNA_Brightfield,0.0015056616
933,Cytoplasm.Cytoplasm_Granularity_4_ER,0.0014265577
1200,Cytoplasm.Cytoplasm_Correlation_Correlation_ER_RNA,0.0014136265
753,Cytoplasm.Cytoplasm_Granularity_4_AGP,0.0013951603
372,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_2of4,0.0013675469
1227,Nuclei.Nuclei_Correlation_Overlap_DNA_RNA,0.0013385374
1083,Nuclei.Nuclei_Granularity_4_DNA,0.0013337024
697,Nuclei.Nuclei_Correlation_RWC_DNA_RNA,0.0013329601
797,Cells.Cells_Correlation_RWC_Mito_ER,0.0013184893
990,Cytoplasm.Cytoplasm_Granularity_3_ER,0.001316278
1302,Nuclei.Nuclei_Correlation_RWC_DNA_Mito,0.0012912757
153,Nuclei.Nuclei_AreaShape_Extent,0.0012724499
921,Nuclei.Nuclei_Granularity_9_DNA,0.0012652929
1002,Nuclei.Nuclei_Granularity_1_Brightfield,0.0012602265
627,Cytoplasm.Cytoplasm_Correlation_Overlap_ER_RNA,0.0012576309
1068,Cells.Cells_Intensity_MaxIntensity_ER,0.0012493484
727,Nuclei.Nuclei_AreaShape_Zernike_9_9,0.0012338478
791,Nuclei.Nuclei_RadialDistribution_MeanFrac_Mito_3of4,0.0012310611
50,Cytoplasm.Cytoplasm_AreaShape_Zernike_7_3,0.0012100745
1023,Nuclei.Nuclei_RadialDistribution_RadialCV_RNA_3of4,0.0012014145
1140,Cells.Cells_Granularity_1_Brightfield,0.0011966389
863,Nuclei.Nuclei_RadialDistribution_MeanFrac_Mito_1of4,0.0011561827
596,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,0.0011501722
984,Nuclei.Nuclei_RadialDistribution_FracAtD_Mito_3of4,0.0011497287
811,Nuclei.Nuclei_RadialDistribution_RadialCV_RNA_4of4,0.0011383431
1277,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_AGP_3of4,0.0011343709
148,Cytoplasm.Cytoplasm_Intensity_MinIntensityEdge_Brightfield,0.0011294557
299,Nuclei.Nuclei_AreaShape_Zernike_3_3,0.0011286574
1296,Cytoplasm.Cytoplasm_Granularity_1_Brightfield,0.0011257197
254,Nuclei.Nuclei_AreaShape_Zernike_7_3,0.0011210481
976,Nuclei.Nuclei_Intensity_MassDisplacement_ER,0.0011198873
159,Nuclei.Nuclei_AreaShape_FormFactor,0.0011151626
523,Nuclei.Nuclei_RadialDistribution_RadialCV_ER_1of4,0.0011053312
174,Nuclei.Nuclei_Granularity_12_DNA,0.0010991072
1148,Nuclei.Nuclei_RadialDistribution_RadialCV_RNA_2of4,0.0010961152
808,Nuclei.Nuclei_Correlation_RWC_Brightfield_DNA,0.0010954576
859,Nuclei.Nuclei_AreaShape_Zernike_9_5,0.0010928357
580,Nuclei.Nuclei_AreaShape_Zernike_7_5,0.0010911614
298,Nuclei.Nuclei_Correlation_Correlation_DNA_RNA,0.0010844795
993,Cells.Cells_Granularity_2_RNA,0.0010797267
318,Cells.Cells_Granularity_4_ER,0.0010789225
1295,Cytoplasm.Cytoplasm_Intensity_MaxIntensity_ER,0.0010658351
1212,Nuclei.Nuclei_RadialDistribution_RadialCV_AGP_1of4,0.0010611712
356,Cytoplasm.Cytoplasm_Intensity_StdIntensity_Brightfield,0.001052469
754,Nuclei.Nuclei_AreaShape_Zernike_8_8,0.0010265853
850,Cells.Cells_AreaShape_FormFactor,0.0010185468
1024,Nuclei.Nuclei_Correlation_Manders_ER_DNA,0.0010132692
759,Nuclei.Nuclei_Correlation_RWC_ER_Mito,0.0010132334
155,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_AGP_2of4,0.0010076144
134,Cells.Cells_Granularity_1_ER,0.001006586
1038,Nuclei.Nuclei_Correlation_Overlap_ER_RNA,0.001003385
277,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_4of4,0.0010028317
253,Nuclei.Nuclei_AreaShape_Zernike_8_0,0.0009990551
1223,Nuclei.Nuclei_AreaShape_Zernike_8_2,0.0009980995
734,Cells.Cells_Correlation_RWC_DNA_Brightfield,0.0009946879
815,Cytoplasm.Cytoplasm_Correlation_RWC_AGP_RNA,0.0009818731
476,Nuclei.Nuclei_Intensity_MADIntensity_Brightfield,0.000974201
624,Cells.Cells_Correlation_Overlap_ER_RNA,0.000971397
412,Cells.Cells_Intensity_MinIntensityEdge_Brightfield,0.00096943177
