,FeatureNames,Saliency
1202,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,0.008395513
547,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_2of4,0.006864326
707,Nuclei.Nuclei_Correlation_RWC_RNA_Mito,0.0068291123
596,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,0.0057476712
584,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_1of4,0.005067346
668,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,0.0042795027
1167,Cytoplasm.Cytoplasm_Correlation_Overlap_DNA_ER,0.004078594
616,Nuclei.Nuclei_AreaShape_Solidity,0.004050718
789,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_2of4,0.0039446927
245,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_4of4,0.0038770728
287,Nuclei.Nuclei_AreaShape_Zernike_7_7,0.0036663976
933,Cytoplasm.Cytoplasm_Granularity_4_ER,0.0036588444
421,Cells.Cells_RadialDistribution_RadialCV_ER_3of4,0.0035273219
1302,Nuclei.Nuclei_Correlation_RWC_DNA_Mito,0.003499364
435,Nuclei.Nuclei_Correlation_RWC_Mito_ER,0.0034645326
298,Nuclei.Nuclei_Correlation_Correlation_DNA_RNA,0.0034030816
990,Cytoplasm.Cytoplasm_Granularity_3_ER,0.003381544
371,Nuclei.Nuclei_AreaShape_Zernike_6_6,0.0032348998
380,Cytoplasm.Cytoplasm_Correlation_Correlation_DNA_ER,0.0032108142
687,Cells.Cells_Neighbors_NumberOfNeighbors_Adjacent,0.003155591
1130,Cells.Cells_Correlation_RWC_DNA_Mito,0.0031374113
579,Cells.Cells_Number_Object_Number,0.003113495
346,Cytoplasm.Cytoplasm_Parent_Nuclei,0.0031012224
984,Nuclei.Nuclei_RadialDistribution_FracAtD_Mito_3of4,0.0030146816
297,Nuclei.Nuclei_Granularity_2_AGP,0.003011247
229,Nuclei.Nuclei_Granularity_3_DNA,0.0029986457
611,Nuclei.Nuclei_Granularity_5_DNA,0.0029950384
378,Nuclei.Nuclei_Correlation_RWC_DNA_Brightfield,0.0029349085
225,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_1of4,0.0029314272
711,Nuclei.Nuclei_AreaShape_Zernike_5_3,0.0029287022
1239,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_Brightfield,0.0029273918
1083,Nuclei.Nuclei_Granularity_4_DNA,0.002915854
694,Nuclei.Nuclei_AreaShape_Zernike_6_0,0.002913861
