,FeatureNames,Saliency
547,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_2of4,0.0032508308
596,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,0.0032431504
1202,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,0.0031483255
707,Nuclei.Nuclei_Correlation_RWC_RNA_Mito,0.0024360425
668,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,0.0023751324
933,Cytoplasm.Cytoplasm_Granularity_4_ER,0.0022371402
616,Nuclei.Nuclei_AreaShape_Solidity,0.0021175581
298,Nuclei.Nuclei_Correlation_Correlation_DNA_RNA,0.0020838499
1083,Nuclei.Nuclei_Granularity_4_DNA,0.0020532557
1188,Nuclei.Nuclei_Granularity_7_DNA,0.0019945116
435,Nuclei.Nuclei_Correlation_RWC_Mito_ER,0.001936089
1167,Cytoplasm.Cytoplasm_Correlation_Overlap_DNA_ER,0.0019114073
111,Cytoplasm.Cytoplasm_Correlation_Correlation_AGP_Brightfield,0.0018839164
1302,Nuclei.Nuclei_Correlation_RWC_DNA_Mito,0.0018574249
378,Nuclei.Nuclei_Correlation_RWC_DNA_Brightfield,0.0017968738
711,Nuclei.Nuclei_AreaShape_Zernike_5_3,0.0017820271
245,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_4of4,0.0017638545
287,Nuclei.Nuclei_AreaShape_Zernike_7_7,0.0017569092
1257,Nuclei.Nuclei_Granularity_6_AGP,0.0017505337
1088,Cytoplasm.Cytoplasm_Intensity_MassDisplacement_Brightfield,0.0016880279
1173,Nuclei.Nuclei_RadialDistribution_RadialCV_RNA_1of4,0.0016872466
789,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_2of4,0.0016807785
330,Cytoplasm.Cytoplasm_Granularity_1_ER,0.0016747065
170,Cytoplasm.Cytoplasm_Granularity_1_RNA,0.0016742395
969,Nuclei.Nuclei_AreaShape_Zernike_3_1,0.0016560543
380,Cytoplasm.Cytoplasm_Correlation_Correlation_DNA_ER,0.0016181786
1295,Cytoplasm.Cytoplasm_Intensity_MaxIntensity_ER,0.0015836827
50,Cytoplasm.Cytoplasm_AreaShape_Zernike_7_3,0.0015774026
950,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_ER_4of4,0.0015715729
990,Cytoplasm.Cytoplasm_Granularity_3_ER,0.0015675775
453,Cells.Cells_Correlation_Correlation_ER_RNA,0.0015642216
134,Cells.Cells_Granularity_1_ER,0.0015617717
318,Cells.Cells_Granularity_4_ER,0.0015216011
377,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_ER_2of4,0.0015129496
254,Nuclei.Nuclei_AreaShape_Zernike_7_3,0.0014891485
580,Nuclei.Nuclei_AreaShape_Zernike_7_5,0.0014811216
850,Cells.Cells_AreaShape_FormFactor,0.0014752974
346,Cytoplasm.Cytoplasm_Parent_Nuclei,0.0014684292
575,Nuclei.Nuclei_Granularity_2_DNA,0.0014661354
584,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_1of4,0.0014639262
579,Cells.Cells_Number_Object_Number,0.0014571965
461,Cytoplasm.Cytoplasm_Correlation_Correlation_Mito_RNA,0.0014507278
694,Nuclei.Nuclei_AreaShape_Zernike_6_0,0.0014451161
353,Cytoplasm.Cytoplasm_Correlation_RWC_ER_AGP,0.0014413072
331,Cells.Cells_Granularity_1_RNA,0.0014226304
1227,Nuclei.Nuclei_Correlation_Overlap_DNA_RNA,0.0014189791
1177,Nuclei.Nuclei_Granularity_2_ER,0.0013908711
1068,Cells.Cells_Intensity_MaxIntensity_ER,0.0013855948
421,Cells.Cells_RadialDistribution_RadialCV_ER_3of4,0.00137519
57,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_ER_1of4,0.001356995
1280,Nuclei.Nuclei_AreaShape_Zernike_9_3,0.0013300615
687,Cells.Cells_Neighbors_NumberOfNeighbors_Adjacent,0.0013133985
352,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_AGP_1of4,0.0013005027
984,Nuclei.Nuclei_RadialDistribution_FracAtD_Mito_3of4,0.001283193
859,Nuclei.Nuclei_AreaShape_Zernike_9_5,0.0012799789
875,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_AGP_4of4,0.0012791731
926,Nuclei.Nuclei_Correlation_Correlation_ER_RNA,0.0012768969
476,Nuclei.Nuclei_Intensity_MADIntensity_Brightfield,0.0012754494
75,Cells.Cells_Correlation_RWC_DNA_AGP,0.0012641767
1038,Nuclei.Nuclei_Correlation_Overlap_ER_RNA,0.0012606996
929,Cells.Cells_Parent_Nuclei,0.0012588431
144,Cytoplasm.Cytoplasm_Granularity_3_RNA,0.0012579184
431,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_ER,0.001257212
244,Cells.Cells_RadialDistribution_MeanFrac_Brightfield_4of4,0.0012499021
551,Cytoplasm.Cytoplasm_Number_Object_Number,0.0012484168
1239,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_Brightfield,0.0012418395
903,Nuclei.Nuclei_Granularity_1_ER,0.001239569
29,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_Brightfield_3of4,0.0012339873
1285,Cytoplasm.Cytoplasm_Granularity_10_ER,0.0012243756
808,Nuclei.Nuclei_Correlation_RWC_Brightfield_DNA,0.0012150855
1201,Cells.Cells_Neighbors_SecondClosestObjectNumber_Adjacent,0.0012111969
750,Nuclei.Nuclei_AreaShape_Zernike_7_1,0.0012032798
96,Cytoplasm.Cytoplasm_Correlation_RWC_Brightfield_ER,0.0011963224
1130,Cells.Cells_Correlation_RWC_DNA_Mito,0.0011950976
64,Cells.Cells_Granularity_2_AGP,0.0011867697
1148,Nuclei.Nuclei_RadialDistribution_RadialCV_RNA_2of4,0.001185188
1113,Cells.Cells_Neighbors_FirstClosestObjectNumber_Adjacent,0.0011845167
643,Nuclei.Nuclei_AreaShape_Zernike_8_6,0.0011831153
1207,Nuclei.Nuclei_AreaShape_EulerNumber,0.00117805
43,Cells.Cells_Granularity_3_ER,0.0011737966
958,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_ER_3of4,0.0011482721
1086,Cytoplasm.Cytoplasm_Granularity_5_RNA,0.0011460813
