,FeatureNames,Saliency
277,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_4of4,0.0013540211
627,Cytoplasm.Cytoplasm_Correlation_Overlap_ER_RNA,0.0013516581
1168,Nuclei.Nuclei_AreaShape_Zernike_5_5,0.0013329966
968,Cytoplasm.Cytoplasm_Granularity_3_Mito,0.0013057896
711,Nuclei.Nuclei_AreaShape_Zernike_5_3,0.001241338
371,Nuclei.Nuclei_AreaShape_Zernike_6_6,0.0012174111
616,Nuclei.Nuclei_AreaShape_Solidity,0.00118084
314,Nuclei.Nuclei_Correlation_Correlation_AGP_Brightfield,0.0010746854
969,Nuclei.Nuclei_AreaShape_Zernike_3_1,0.0010450421
580,Nuclei.Nuclei_AreaShape_Zernike_7_5,0.0010029875
470,Cytoplasm.Cytoplasm_Correlation_RWC_Mito_ER,0.0009818608
1282,Cells.Cells_RadialDistribution_RadialCV_Mito_3of4,0.0009729039
287,Nuclei.Nuclei_AreaShape_Zernike_7_7,0.00095609395
550,Nuclei.Nuclei_RadialDistribution_FracAtD_ER_3of4,0.00094258843
634,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_Mito_3of4,0.00094009965
850,Cells.Cells_AreaShape_FormFactor,0.0009233976
153,Nuclei.Nuclei_AreaShape_Extent,0.00089734053
113,Cytoplasm.Cytoplasm_Correlation_RWC_AGP_ER,0.0008886524
364,Cytoplasm.Cytoplasm_AreaShape_FormFactor,0.00088640145
674,Nuclei.Nuclei_AreaShape_Zernike_1_1,0.0008859709
1207,Nuclei.Nuclei_AreaShape_EulerNumber,0.0008839012
299,Nuclei.Nuclei_AreaShape_Zernike_3_3,0.00088216
1234,Cells.Cells_Granularity_3_Mito,0.00086221745
721,Cells.Cells_Neighbors_AngleBetweenNeighbors_Adjacent,0.00085721194
229,Nuclei.Nuclei_Granularity_3_DNA,0.00085297844
141,Cells.Cells_Intensity_MADIntensity_ER,0.0008490572
990,Cytoplasm.Cytoplasm_Granularity_3_ER,0.0008291409
155,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_AGP_2of4,0.0008271308
1188,Nuclei.Nuclei_Granularity_7_DNA,0.0007958333
449,Nuclei.Nuclei_Intensity_StdIntensityEdge_DNA,0.00078869483
754,Nuclei.Nuclei_AreaShape_Zernike_8_8,0.000780449
1099,Cytoplasm.Cytoplasm_Intensity_MADIntensity_ER,0.0007737992
9,Cells.Cells_RadialDistribution_RadialCV_DNA_4of4,0.0007604336
235,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_Mito_2of4,0.0007592105
1182,Cells.Cells_Correlation_Correlation_DNA_ER,0.0007583868
353,Cytoplasm.Cytoplasm_Correlation_RWC_ER_AGP,0.000757127
249,Cells.Cells_RadialDistribution_RadialCV_AGP_1of4,0.00075187034
727,Nuclei.Nuclei_AreaShape_Zernike_9_9,0.0007509431
297,Nuclei.Nuclei_Granularity_2_AGP,0.0007489724
984,Nuclei.Nuclei_RadialDistribution_FracAtD_Mito_3of4,0.0007438113
1226,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_Mito_4of4,0.00073791656
351,Cytoplasm.Cytoplasm_Granularity_2_Brightfield,0.00073711044
696,Nuclei.Nuclei_AreaShape_Zernike_9_7,0.0007324242
116,Cells.Cells_RadialDistribution_RadialCV_Mito_4of4,0.0007305309
545,Cytoplasm.Cytoplasm_Intensity_MassDisplacement_Mito,0.00071457576
1130,Cells.Cells_Correlation_RWC_DNA_Mito,0.00071424164
1212,Nuclei.Nuclei_RadialDistribution_RadialCV_AGP_1of4,0.0007069666
401,Nuclei.Nuclei_Correlation_Correlation_DNA_Mito,0.00070476066
955,Cytoplasm.Cytoplasm_Granularity_4_Mito,0.00070278
254,Nuclei.Nuclei_AreaShape_Zernike_7_3,0.0007011942
1173,Nuclei.Nuclei_RadialDistribution_RadialCV_RNA_1of4,0.0006990204
1277,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_AGP_3of4,0.0006879736
340,Nuclei.Nuclei_AreaShape_Zernike_4_4,0.0006879634
358,Cells.Cells_Correlation_RWC_AGP_ER,0.0006844931
391,Cells.Cells_RadialDistribution_MeanFrac_Mito_1of4,0.0006670392
226,Cytoplasm.Cytoplasm_Intensity_MedianIntensity_ER,0.0006655516
216,Nuclei.Nuclei_Correlation_RWC_Mito_AGP,0.00065940176
348,Nuclei.Nuclei_Intensity_MassDisplacement_Mito,0.0006516947
537,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_4of4,0.00065090955
948,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_3of4,0.0006403678
519,Cytoplasm.Cytoplasm_Correlation_RWC_ER_Mito,0.0006392052
512,Cells.Cells_RadialDistribution_RadialCV_Mito_2of4,0.0006316455
520,Nuclei.Nuclei_RadialDistribution_MeanFrac_ER_3of4,0.0006312086
493,Nuclei.Nuclei_Granularity_15_DNA,0.000630073
804,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_AGP_3of4,0.00062410184
64,Cells.Cells_Granularity_2_AGP,0.00062077824
1230,Nuclei.Nuclei_Correlation_RWC_ER_RNA,0.00061605487
668,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,0.0006129925
625,Nuclei.Nuclei_Intensity_StdIntensityEdge_ER,0.0006113017
899,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_Mito_3of4,0.00060475286
1237,Cells.Cells_RadialDistribution_FracAtD_Mito_1of4,0.00059337326
957,Nuclei.Nuclei_Correlation_RWC_RNA_AGP,0.0005925261
1083,Nuclei.Nuclei_Granularity_4_DNA,0.00058723026
1289,Cells.Cells_RadialDistribution_MeanFrac_DNA_3of4,0.00058306986
516,Cells.Cells_Intensity_MassDisplacement_RNA,0.0005828522
875,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_AGP_4of4,0.00058153295
253,Nuclei.Nuclei_AreaShape_Zernike_8_0,0.00057704124
34,Cytoplasm.Cytoplasm_Correlation_RWC_Mito_DNA,0.000565623
568,Nuclei.Nuclei_RadialDistribution_FracAtD_RNA_3of4,0.00056462165
1183,Nuclei.Nuclei_Granularity_6_DNA,0.0005644414
461,Cytoplasm.Cytoplasm_Correlation_Correlation_Mito_RNA,0.0005641368
380,Cytoplasm.Cytoplasm_Correlation_Correlation_DNA_ER,0.0005600066
694,Nuclei.Nuclei_AreaShape_Zernike_6_0,0.0005544835
118,Cells.Cells_Granularity_2_Brightfield,0.000552301
1196,Cytoplasm.Cytoplasm_Correlation_Overlap_AGP_Brightfield,0.00055115565
342,Cells.Cells_Intensity_MassDisplacement_Mito,0.00054904283
780,Cells.Cells_AreaShape_Solidity,0.00054640084
208,Cells.Cells_Neighbors_FirstClosestDistance_Adjacent,0.0005394538
1009,Nuclei.Nuclei_RadialDistribution_RadialCV_ER_4of4,0.00053885474
154,Cytoplasm.Cytoplasm_Correlation_Manders_DNA_ER,0.00053589133
1022,Nuclei.Nuclei_Correlation_RWC_AGP_Mito,0.0005352407
441,Nuclei.Nuclei_Granularity_10_DNA,0.0005347058
