,FeatureNames,Saliency
596,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,0.002223164
1202,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,0.0019901106
668,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,0.0018392865
196,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_3of4,0.0017183826
707,Nuclei.Nuclei_Correlation_RWC_RNA_Mito,0.0015932756
109,Nuclei.Nuclei_RadialDistribution_RadialCV_Brightfield_1of4,0.0015738576
526,Cytoplasm.Cytoplasm_Intensity_MinIntensity_Brightfield,0.0014823517
1188,Nuclei.Nuclei_Granularity_7_DNA,0.0014506809
1132,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_AGP,0.0014441145
1296,Cytoplasm.Cytoplasm_Granularity_1_Brightfield,0.0013364647
1140,Cells.Cells_Granularity_1_Brightfield,0.0013345379
412,Cells.Cells_Intensity_MinIntensityEdge_Brightfield,0.0013321367
1002,Nuclei.Nuclei_Granularity_1_Brightfield,0.0013168916
933,Cytoplasm.Cytoplasm_Granularity_4_ER,0.0012982016
1302,Nuclei.Nuclei_Correlation_RWC_DNA_Mito,0.0012762924
148,Cytoplasm.Cytoplasm_Intensity_MinIntensityEdge_Brightfield,0.0012358254
575,Nuclei.Nuclei_Granularity_2_DNA,0.0012346719
111,Cytoplasm.Cytoplasm_Correlation_Correlation_AGP_Brightfield,0.0012256738
229,Nuclei.Nuclei_Granularity_3_DNA,0.0012021099
50,Cytoplasm.Cytoplasm_AreaShape_Zernike_7_3,0.0012002066
662,Cells.Cells_Intensity_StdIntensityEdge_Brightfield,0.0011918689
1029,Nuclei.Nuclei_Granularity_2_Brightfield,0.0011852989
643,Nuclei.Nuclei_AreaShape_Zernike_8_6,0.0011776857
899,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_Mito_3of4,0.0011651955
245,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_4of4,0.0011419969
356,Cytoplasm.Cytoplasm_Intensity_StdIntensity_Brightfield,0.0011404136
435,Nuclei.Nuclei_Correlation_RWC_Mito_ER,0.0011249692
431,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_ER,0.0011147975
1288,Nuclei.Nuclei_Correlation_RWC_Brightfield_RNA,0.0011127644
1260,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_Mito_2of4,0.0010811278
371,Nuclei.Nuclei_AreaShape_Zernike_6_6,0.0010522057
368,Cells.Cells_RadialDistribution_MeanFrac_Brightfield_3of4,0.0010340211
