,FeatureNames,Saliency
109,Nuclei.Nuclei_RadialDistribution_RadialCV_Brightfield_1of4,0.0023987382
611,Nuclei.Nuclei_Granularity_5_DNA,0.002238487
1140,Cells.Cells_Granularity_1_Brightfield,0.0021742678
1002,Nuclei.Nuclei_Granularity_1_Brightfield,0.0021703015
1296,Cytoplasm.Cytoplasm_Granularity_1_Brightfield,0.0021581338
526,Cytoplasm.Cytoplasm_Intensity_MinIntensity_Brightfield,0.0020015752
1029,Nuclei.Nuclei_Granularity_2_Brightfield,0.0018950476
196,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_3of4,0.0017526743
1277,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_AGP_3of4,0.0017146055
734,Cells.Cells_Correlation_RWC_DNA_Brightfield,0.0016571207
537,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_4of4,0.0015701704
1126,Cells.Cells_Intensity_MinIntensity_Brightfield,0.0015680796
711,Nuclei.Nuclei_AreaShape_Zernike_5_3,0.0015638709
968,Cytoplasm.Cytoplasm_Granularity_3_Mito,0.0015494613
1148,Nuclei.Nuclei_RadialDistribution_RadialCV_RNA_2of4,0.0015036002
616,Nuclei.Nuclei_AreaShape_Solidity,0.001465856
314,Nuclei.Nuclei_Correlation_Correlation_AGP_Brightfield,0.0014399983
245,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_4of4,0.0014217665
921,Nuclei.Nuclei_Granularity_9_DNA,0.0014184909
404,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_Mito_1of4,0.0014170822
148,Cytoplasm.Cytoplasm_Intensity_MinIntensityEdge_Brightfield,0.0014124048
412,Cells.Cells_Intensity_MinIntensityEdge_Brightfield,0.0013419143
155,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_AGP_2of4,0.0013360737
1003,Nuclei.Nuclei_RadialDistribution_RadialCV_AGP_4of4,0.0013264843
568,Nuclei.Nuclei_RadialDistribution_FracAtD_RNA_3of4,0.0013130213
305,Nuclei.Nuclei_RadialDistribution_RadialCV_AGP_3of4,0.0012863235
68,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_Brightfield_3of4,0.0012335145
1260,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_Mito_2of4,0.0012317707
9,Cells.Cells_RadialDistribution_RadialCV_DNA_4of4,0.0012293359
969,Nuclei.Nuclei_AreaShape_Zernike_3_1,0.0012179187
476,Nuclei.Nuclei_Intensity_MADIntensity_Brightfield,0.0012140782
356,Cytoplasm.Cytoplasm_Intensity_StdIntensity_Brightfield,0.0011368021
34,Cytoplasm.Cytoplasm_Correlation_RWC_Mito_DNA,0.0011335763
1173,Nuclei.Nuclei_RadialDistribution_RadialCV_RNA_1of4,0.0011237843
1254,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_AGP_1of4,0.0010891422
279,Cytoplasm.Cytoplasm_Correlation_RWC_Mito_Brightfield,0.0010718895
810,Cells.Cells_AreaShape_Zernike_0_0,0.0010620162
13,Nuclei.Nuclei_Correlation_Overlap_AGP_Brightfield,0.00105338
563,Cytoplasm.Cytoplasm_RadialDistribution_FracAtD_DNA_1of4,0.0010492185
1289,Cells.Cells_RadialDistribution_MeanFrac_DNA_3of4,0.0010439582
370,Cytoplasm.Cytoplasm_Correlation_RWC_ER_DNA,0.0010434077
1132,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_AGP,0.0010370514
738,Cytoplasm.Cytoplasm_RadialDistribution_FracAtD_DNA_2of4,0.0010226474
243,Nuclei.Nuclei_AreaShape_Zernike_2_0,0.0010121572
1165,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_4of4,0.000993832
656,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_DNA_3of4,0.0009898677
700,Nuclei.Nuclei_Intensity_StdIntensity_Brightfield,0.0009849617
609,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_DNA_2of4,0.000979149
791,Nuclei.Nuclei_RadialDistribution_MeanFrac_Mito_3of4,0.0009773792
707,Nuclei.Nuclei_Correlation_RWC_RNA_Mito,0.0009739979
35,Cells.Cells_AreaShape_Zernike_5_3,0.00096873945
862,Cells.Cells_Granularity_8_ER,0.0009653553
780,Cells.Cells_AreaShape_Solidity,0.0009494972
674,Nuclei.Nuclei_AreaShape_Zernike_1_1,0.0009444216
1234,Cells.Cells_Granularity_3_Mito,0.0009441561
559,Cytoplasm.Cytoplasm_Correlation_RWC_Brightfield_Mito,0.0009356046
646,Cytoplasm.Cytoplasm_AreaShape_Zernike_7_1,0.0009295223
384,Cytoplasm.Cytoplasm_RadialDistribution_FracAtD_DNA_4of4,0.0009270347
206,Cytoplasm.Cytoplasm_Granularity_2_AGP,0.0009196469
984,Nuclei.Nuclei_RadialDistribution_FracAtD_Mito_3of4,0.00091429177
309,Nuclei.Nuclei_Intensity_StdIntensityEdge_AGP,0.00091105676
1099,Cytoplasm.Cytoplasm_Intensity_MADIntensity_ER,0.00090389926
902,Cells.Cells_RadialDistribution_RadialCV_AGP_2of4,0.0009037756
1196,Cytoplasm.Cytoplasm_Correlation_Overlap_AGP_Brightfield,0.0009004845
