,FeatureNames,Saliency
1148,Nuclei.Nuclei_RadialDistribution_RadialCV_RNA_2of4,0.0019655148
1296,Cytoplasm.Cytoplasm_Granularity_1_Brightfield,0.0019193304
526,Cytoplasm.Cytoplasm_Intensity_MinIntensity_Brightfield,0.0017962401
1140,Cells.Cells_Granularity_1_Brightfield,0.0017530115
1202,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,0.0017239216
1002,Nuclei.Nuclei_Granularity_1_Brightfield,0.0016792313
151,Nuclei.Nuclei_RadialDistribution_RadialCV_ER_3of4,0.001653363
1295,Cytoplasm.Cytoplasm_Intensity_MaxIntensity_ER,0.0015177105
1132,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_AGP,0.0015000215
1068,Cells.Cells_Intensity_MaxIntensity_ER,0.0014844817
1126,Cells.Cells_Intensity_MinIntensity_Brightfield,0.001474291
921,Nuclei.Nuclei_Granularity_9_DNA,0.0013394413
1173,Nuclei.Nuclei_RadialDistribution_RadialCV_RNA_1of4,0.0013267923
947,Nuclei.Nuclei_RadialDistribution_RadialCV_ER_2of4,0.0012820571
707,Nuclei.Nuclei_Correlation_RWC_RNA_Mito,0.0012798113
330,Cytoplasm.Cytoplasm_Granularity_1_ER,0.0011746573
148,Cytoplasm.Cytoplasm_Intensity_MinIntensityEdge_Brightfield,0.0011725479
1050,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_AGP_4of4,0.0011666799
113,Cytoplasm.Cytoplasm_Correlation_RWC_AGP_ER,0.0011423607
1246,Nuclei.Nuclei_RadialDistribution_RadialCV_AGP_2of4,0.00113528
292,Nuclei.Nuclei_RadialDistribution_MeanFrac_AGP_3of4,0.0011262768
29,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_Brightfield_3of4,0.0011191147
662,Cells.Cells_Intensity_StdIntensityEdge_Brightfield,0.0011180112
1023,Nuclei.Nuclei_RadialDistribution_RadialCV_RNA_3of4,0.0011173245
791,Nuclei.Nuclei_RadialDistribution_MeanFrac_Mito_3of4,0.0010970281
547,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_2of4,0.0010865458
881,Nuclei.Nuclei_Intensity_MADIntensity_ER,0.0010541165
1212,Nuclei.Nuclei_RadialDistribution_RadialCV_AGP_1of4,0.0010366216
401,Nuclei.Nuclei_Correlation_Correlation_DNA_Mito,0.0010322854
1302,Nuclei.Nuclei_Correlation_RWC_DNA_Mito,0.0010259367
98,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_Brightfield_4of4,0.0010177272
934,Nuclei.Nuclei_Granularity_8_DNA,0.0010012165
794,Cells.Cells_RadialDistribution_RadialCV_AGP_4of4,0.0010000083
245,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_4of4,0.0009985858
1059,Cytoplasm.Cytoplasm_Intensity_MaxIntensity_AGP,0.0009799987
356,Cytoplasm.Cytoplasm_Intensity_StdIntensity_Brightfield,0.00097482617
68,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_Brightfield_3of4,0.00095502875
134,Cells.Cells_Granularity_1_ER,0.00095365953
644,Nuclei.Nuclei_Correlation_Correlation_Mito_RNA,0.00094724266
875,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_AGP_4of4,0.0009453377
152,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_Brightfield_2of4,0.0009450679
1038,Nuclei.Nuclei_Correlation_Overlap_ER_RNA,0.00094446196
1229,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_ER_1of4,0.00094302854
353,Cytoplasm.Cytoplasm_Correlation_RWC_ER_AGP,0.00092812727
804,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_AGP_3of4,0.0009278559
316,Cells.Cells_Intensity_MaxIntensity_AGP,0.0009063164
131,Cells.Cells_Intensity_MassDisplacement_Brightfield,0.000882048
1004,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_Brightfield_2of4,0.00085902
523,Nuclei.Nuclei_RadialDistribution_RadialCV_ER_1of4,0.000855005
910,Cells.Cells_Correlation_RWC_Mito_RNA,0.0008548228
868,Cells.Cells_Granularity_1_AGP,0.000854703
564,Nuclei.Nuclei_Granularity_1_AGP,0.00085430365
249,Cells.Cells_RadialDistribution_RadialCV_AGP_1of4,0.0008497638
358,Cells.Cells_Correlation_RWC_AGP_ER,0.0008413921
1157,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_Brightfield_4of4,0.0008411552
13,Nuclei.Nuclei_Correlation_Overlap_AGP_Brightfield,0.0008345363
1197,Nuclei.Nuclei_Granularity_3_Brightfield,0.00082627515
166,Cells.Cells_Correlation_Correlation_DNA_Mito,0.000820783
549,Cells.Cells_Correlation_Overlap_DNA_ER,0.00081892987
412,Cells.Cells_Intensity_MinIntensityEdge_Brightfield,0.0008155519
679,Cells.Cells_Granularity_2_ER,0.0008122241
368,Cells.Cells_RadialDistribution_MeanFrac_Brightfield_3of4,0.00080553396
1144,Cytoplasm.Cytoplasm_Correlation_RWC_Mito_RNA,0.0008050752
960,Cells.Cells_AreaShape_Zernike_4_0,0.00079451303
367,Cells.Cells_RadialDistribution_RadialCV_Brightfield_2of4,0.0007931884
94,Nuclei.Nuclei_AreaShape_Zernike_6_4,0.00079054444
1139,Nuclei.Nuclei_RadialDistribution_FracAtD_AGP_3of4,0.00078434416
596,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,0.0007837864
819,Nuclei.Nuclei_Correlation_RWC_AGP_ER,0.0007712608
642,Cells.Cells_AreaShape_Zernike_8_4,0.00075931824
424,Nuclei.Nuclei_AreaShape_Zernike_4_0,0.0007499447
