,FeatureNames,Saliency
1202,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,0.0014067709
596,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,0.0013647894
314,Nuclei.Nuclei_Correlation_Correlation_AGP_Brightfield,0.0011876114
707,Nuclei.Nuclei_Correlation_RWC_RNA_Mito,0.0011218541
1132,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_AGP,0.0008436501
431,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_ER,0.0007895386
789,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_2of4,0.0007485949
668,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,0.00074095576
1302,Nuclei.Nuclei_Correlation_RWC_DNA_Mito,0.000721345
611,Nuclei.Nuclei_Granularity_5_DNA,0.0006769085
421,Cells.Cells_RadialDistribution_RadialCV_ER_3of4,0.0006749885
1177,Nuclei.Nuclei_Granularity_2_ER,0.0006723626
1083,Nuclei.Nuclei_Granularity_4_DNA,0.00064889144
298,Nuclei.Nuclei_Correlation_Correlation_DNA_RNA,0.0006485421
368,Cells.Cells_RadialDistribution_MeanFrac_Brightfield_3of4,0.00064343266
380,Cytoplasm.Cytoplasm_Correlation_Correlation_DNA_ER,0.0006288891
547,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_2of4,0.0006204424
933,Cytoplasm.Cytoplasm_Granularity_4_ER,0.0006165347
435,Nuclei.Nuclei_Correlation_RWC_Mito_ER,0.00058168324
244,Cells.Cells_RadialDistribution_MeanFrac_Brightfield_4of4,0.0005790627
1304,Cytoplasm.Cytoplasm_Correlation_K_AGP_RNA,0.0005159501
1050,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_AGP_4of4,0.000512667
1288,Nuclei.Nuclei_Correlation_RWC_Brightfield_RNA,0.0005107703
616,Nuclei.Nuclei_AreaShape_Solidity,0.0005104303
1063,Cytoplasm.Cytoplasm_Correlation_RWC_AGP_DNA,0.00050960504
950,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_ER_4of4,0.0005090846
1167,Cytoplasm.Cytoplasm_Correlation_Overlap_DNA_ER,0.0005073947
1100,Cells.Cells_Intensity_MassDisplacement_ER,0.00049802946
759,Nuclei.Nuclei_Correlation_RWC_ER_Mito,0.0004913568
377,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_ER_2of4,0.00049096486
50,Cytoplasm.Cytoplasm_AreaShape_Zernike_7_3,0.0004853418
644,Nuclei.Nuclei_Correlation_Correlation_Mito_RNA,0.00048404973
956,Nuclei.Nuclei_RadialDistribution_MeanFrac_DNA_1of4,0.00048011658
13,Nuclei.Nuclei_Correlation_Overlap_AGP_Brightfield,0.00047844803
791,Nuclei.Nuclei_RadialDistribution_MeanFrac_Mito_3of4,0.00047421607
57,Cytoplasm.Cytoplasm_RadialDistribution_MeanFrac_ER_1of4,0.0004732563
88,Cytoplasm.Cytoplasm_Granularity_7_AGP,0.00046618242
27,Cytoplasm.Cytoplasm_Intensity_MassDisplacement_ER,0.0004577921
351,Cytoplasm.Cytoplasm_Granularity_2_Brightfield,0.0004551379
774,Cells.Cells_Correlation_Manders_DNA_ER,0.00045354577
166,Cells.Cells_Correlation_Correlation_DNA_Mito,0.0004496782
768,Cytoplasm.Cytoplasm_AreaShape_Zernike_1_1,0.0004433669
