,SaliencyV0,SaliencyV1,SaliencyV2,SaliencyV4,TopYfeats
0,0.09987749,0.35282335,0.17578506,0.45270085,"Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Nuclei.Nuclei_Granularity_5_DNA,Nuclei.Nuclei_Granularity_13_DNA,Nuclei.Nuclei_Correlation_RWC_Mito_RNA"
1,0.15727335,0.77433157,0.11137356,0.9316049,"Nuclei.Nuclei_Granularity_3_DNA,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Nuclei.Nuclei_Granularity_5_DNA"
2,0.15250362,0.8128619,-0.008919049,0.9653655,"Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_Granularity_5_DNA,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Granularity_3_DNA"
3,0.09833232,0.72578025,0.28232142,0.8241126,"Nuclei.Nuclei_Granularity_5_DNA,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_Correlation_RWC_Mito_RNA"
4,0.1532614,0.47979915,0.32337272,0.6330606,"Nuclei.Nuclei_RadialDistribution_RadialCV_ER_2of4,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Correlation_RWC_Mito_RNA"
5,0.12811492,0.70419306,0.12352532,0.832308,"Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_Granularity_5_DNA,Nuclei.Nuclei_Granularity_3_DNA,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Correlation_RWC_Mito_RNA"
6,0.13886799,0.6810745,0.34704304,0.8199425,"Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_AreaShape_Zernike_8_6,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Correlation_RWC_Mito_RNA"
7,0.13064191,0.70611775,0.10659312,0.8367597,"Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Nuclei.Nuclei_Granularity_5_DNA,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Granularity_3_DNA"
8,0.11921921,0.6949383,0.08363517,0.8141575,"Nuclei.Nuclei_Granularity_3_DNA,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Granularity_5_DNA"
9,0.106856935,0.4690341,0.07933584,0.575891,"Nuclei.Nuclei_Granularity_13_DNA,Nuclei.Nuclei_Granularity_5_DNA,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4"
10,0.07801353,0.33298787,0.23107144,0.4110014,"Nuclei.Nuclei_Correlation_Correlation_AGP_Brightfield,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_Granularity_13_DNA,Nuclei.Nuclei_Correlation_RWC_Mito_RNA"
11,0.10274565,0.8147136,0.17323029,0.91745925,"Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_Granularity_3_DNA,Nuclei.Nuclei_Granularity_5_DNA,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4"
12,0.12242867,0.7839381,0.056705624,0.90636677,"Nuclei.Nuclei_Granularity_5_DNA,Nuclei.Nuclei_Granularity_3_DNA,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4"
13,0.09971975,0.75243366,0.07790905,0.8521534,"Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Nuclei.Nuclei_Granularity_5_DNA,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Granularity_3_DNA"
14,0.11559956,0.7809895,0.0794925,0.8965891,"Nuclei.Nuclei_AreaShape_Zernike_8_6,Nuclei.Nuclei_Granularity_13_DNA,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Granularity_5_DNA,Nuclei.Nuclei_Granularity_3_DNA"
15,0.11336017,0.70931226,0.132652,0.8226724,"Nuclei.Nuclei_Granularity_5_DNA,Nuclei.Nuclei_Granularity_3_DNA,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4"
16,0.04972619,0.34474733,0.11482721,0.39447352,"Nuclei.Nuclei_Granularity_3_DNA,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Correlation_Correlation_AGP_Brightfield"
17,0.12604196,0.75200665,0.08423299,0.8780486,"Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Nuclei.Nuclei_Granularity_3_DNA,Nuclei.Nuclei_Granularity_5_DNA"
18,0.18723735,0.578254,0.0136398785,0.76549137,"Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_Granularity_13_DNA,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4"
19,0.13224618,0.75093585,0.10931344,0.88318205,"Nuclei.Nuclei_Granularity_3_DNA,Nuclei.Nuclei_Granularity_5_DNA,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Correlation_RWC_Mito_RNA"
20,0.12331407,0.76164484,0.29702744,0.8849589,"Nuclei.Nuclei_Granularity_3_DNA,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Nuclei.Nuclei_Granularity_5_DNA,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4"
21,0.08682421,0.58712596,0.28181067,0.6739502,"Cytoplasm.Cytoplasm_Granularity_1_AGP,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Nuclei.Nuclei_Correlation_Correlation_AGP_Brightfield,Nuclei.Nuclei_Correlation_RWC_Mito_RNA"
22,0.10882519,0.64616245,0.098425694,0.75498766,"Nuclei.Nuclei_Correlation_Correlation_AGP_Brightfield,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_Correlation_RWC_RNA_Mito"
23,0.15737858,0.78208864,0.01869692,0.9394672,"Nuclei.Nuclei_Granularity_13_DNA,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Granularity_5_DNA,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_Correlation_Correlation_DNA_ER"
24,0.089516975,0.24189392,0.27902183,0.33141088,"Nuclei.Nuclei_Granularity_5_DNA,Nuclei.Nuclei_Granularity_3_DNA,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Nuclei.Nuclei_RadialDistribution_RadialCV_ER_2of4,Nuclei.Nuclei_Correlation_Correlation_AGP_Brightfield"
25,0.1048028,0.7385514,0.118417665,0.84335417,"Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_Granularity_3_DNA,Nuclei.Nuclei_Granularity_5_DNA,Nuclei.Nuclei_Correlation_Correlation_DNA_ER"
26,0.06804886,0.5687145,0.39769933,0.63676333,"Nuclei.Nuclei_Granularity_5_DNA,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4"
27,0.038774688,0.39811835,0.1657834,0.43689305,"Nuclei.Nuclei_Granularity_13_DNA,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Correlation_Correlation_AGP_Brightfield,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_Correlation_Correlation_DNA_ER"
28,0.10708473,0.77282685,0.16395372,0.8799116,"Nuclei.Nuclei_Granularity_13_DNA,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_Granularity_5_DNA,Nuclei.Nuclei_Granularity_3_DNA,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4"
29,0.10807003,0.6769009,0.23099774,0.78497094,"Nuclei.Nuclei_Granularity_13_DNA,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Nuclei.Nuclei_Granularity_5_DNA"
30,0.05299693,0.1922685,0.24474403,0.24526544,"Nuclei.Nuclei_Granularity_7_DNA,Nuclei.Nuclei_Correlation_Correlation_AGP_Brightfield,Nuclei.Nuclei_Granularity_13_DNA,Nuclei.Nuclei_Granularity_5_DNA,Nuclei.Nuclei_Granularity_3_DNA"
31,0.10497287,0.761014,0.12558591,0.8659868,"Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Granularity_5_DNA,Nuclei.Nuclei_Granularity_3_DNA"
32,0.128483,0.5326619,0.4050141,0.6611449,"Nuclei.Nuclei_Granularity_5_DNA,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Correlation_Correlation_AGP_Brightfield,Nuclei.Nuclei_Correlation_RWC_Mito_RNA"
33,0.057889637,0.36447525,0.26489347,0.4223649,"Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Granularity_7_DNA,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_Granularity_13_DNA,Nuclei.Nuclei_Correlation_Correlation_AGP_Brightfield"
34,0.074891314,0.585537,0.15407649,0.66042835,"Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Granularity_5_DNA,Nuclei.Nuclei_Granularity_3_DNA"
35,0.08883631,0.6221413,-0.0062407693,0.7109776,"Nuclei.Nuclei_AreaShape_Zernike_8_6,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_Granularity_5_DNA,Nuclei.Nuclei_Correlation_Correlation_DNA_ER"
36,0.10946833,0.5860862,0.22643808,0.69555455,"Nuclei.Nuclei_Granularity_5_DNA,Nuclei.Nuclei_Granularity_13_DNA,Cytoplasm.Cytoplasm_Granularity_1_AGP,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_Correlation_Correlation_DNA_ER"
37,0.124264896,0.5306646,0.21853203,0.6549295,"Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_Correlation_Correlation_DNA_ER,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_Granularity_5_DNA,Cytoplasm.Cytoplasm_RadialDistribution_RadialCV_DNA_1of4"
