,SaliencyV0,SaliencyV1,SaliencyV2,SaliencyV4,TopYfeats
0,0.06821479,0.40333134,0.21538934,0.4715461,"Nuclei.Nuclei_Granularity_8_DNA,Cytoplasm.Cytoplasm_Intensity_MaxIntensity_ER,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_2of4,Cells.Cells_Intensity_MaxIntensity_ER"
1,0.11224654,0.6430834,0.13347796,0.75532997,"Nuclei.Nuclei_Granularity_8_DNA,Nuclei.Nuclei_AreaShape_Zernike_6_6,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_2of4,Cells.Cells_Intensity_MaxIntensity_ER,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4"
2,0.078519695,0.31881875,0.06144183,0.39733845,"Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_2of4,Nuclei.Nuclei_Correlation_RWC_Mito_AGP,Cells.Cells_Intensity_MaxIntensity_ER,Nuclei.Nuclei_AreaShape_Zernike_6_6,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4"
3,0.046099763,0.21413223,0.26545244,0.260232,"Cytoplasm.Cytoplasm_Correlation_RWC_DNA_AGP,Cells.Cells_Intensity_MaxIntensity_ER,Cytoplasm.Cytoplasm_Intensity_MaxIntensity_ER,Nuclei.Nuclei_Granularity_8_DNA,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4"
4,0.0461315,0.18662496,0.21778354,0.23275647,"Nuclei.Nuclei_Correlation_RWC_AGP_Mito,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_2of4,Nuclei.Nuclei_AreaShape_Zernike_6_6,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,Cells.Cells_Intensity_MaxIntensity_ER"
5,0.06568534,0.021585876,0.15080708,0.08727121,"Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_2of4,Nuclei.Nuclei_Granularity_8_DNA,Cells.Cells_Intensity_MaxIntensity_ER,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_AreaShape_Zernike_6_6"
6,0.0815771,0.4480008,0.2341351,0.5295779,"Nuclei.Nuclei_Granularity_8_DNA,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_2of4,Cytoplasm.Cytoplasm_Intensity_MaxIntensity_ER,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,Cells.Cells_Intensity_MaxIntensity_ER"
7,0.042272303,0.16673204,0.13716832,0.20900434,"Nuclei.Nuclei_Correlation_RWC_AGP_Mito,Nuclei.Nuclei_Granularity_8_DNA,Nuclei.Nuclei_AreaShape_Zernike_6_6,Nuclei.Nuclei_Correlation_RWC_Mito_AGP,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4"
8,0.107378915,0.3576425,0.16131556,0.46502143,"Nuclei.Nuclei_Correlation_RWC_Mito_AGP,Nuclei.Nuclei_Granularity_8_DNA,Cytoplasm.Cytoplasm_Intensity_MaxIntensity_ER,Cells.Cells_Intensity_MaxIntensity_ER,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4"
9,0.09912437,0.442697,0.3890987,0.54182136,"Cytoplasm.Cytoplasm_Intensity_MaxIntensity_ER,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,Cells.Cells_Intensity_MaxIntensity_ER,Nuclei.Nuclei_AreaShape_Zernike_6_6,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_2of4"
10,0.07676169,0.18167634,0.14783779,0.25843805,"Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_3of4,Nuclei.Nuclei_Correlation_RWC_Mito_AGP,Cells.Cells_Intensity_MaxIntensity_ER,Nuclei.Nuclei_AreaShape_Zernike_6_6,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4"
11,0.11895817,0.5625619,0.12307101,0.6815201,"Nuclei.Nuclei_AreaShape_Zernike_6_6,Cytoplasm.Cytoplasm_Intensity_MaxIntensity_ER,Cells.Cells_Intensity_MaxIntensity_ER,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_2of4,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4"
12,0.0849511,0.38870206,0.21285057,0.47365317,"Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_2of4,Cytoplasm.Cytoplasm_Correlation_RWC_DNA_AGP,Cytoplasm.Cytoplasm_Intensity_MaxIntensity_ER,Cells.Cells_Intensity_MaxIntensity_ER,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4"
13,0.07830185,0.35424113,0.07459647,0.43254298,"Cytoplasm.Cytoplasm_Intensity_MaxIntensity_ER,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_2of4,Nuclei.Nuclei_Granularity_8_DNA,Cells.Cells_Intensity_MaxIntensity_ER,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4"
