,SaliencyV0,SaliencyV1,SaliencyV2,SaliencyV4,TopYfeats
0,0.09620076,0.6889062,0.5324344,0.78510696,"Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_2of4"
1,0.10894145,0.7857364,0.2544434,0.8946778,"Nuclei.Nuclei_Correlation_Correlation_DNA_RNA,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_2of4"
2,0.08411672,0.75534385,0.2848648,0.83946055,"Nuclei.Nuclei_Correlation_RWC_Mito_DNA,Nuclei.Nuclei_AreaShape_Solidity,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_2of4"
3,0.09272313,0.69026095,0.35537514,0.7829841,"Nuclei.Nuclei_Correlation_RWC_Mito_DNA,Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_2of4,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4"
4,0.07696091,0.7390228,0.103586584,0.8159837,"Nuclei.Nuclei_Correlation_RWC_Mito_DNA,Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_2of4"
5,0.1255498,0.64960843,0.44121146,0.7751582,"Nuclei.Nuclei_Granularity_4_DNA,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_2of4"
6,0.09645861,0.76413846,0.22222748,0.8605971,"Cytoplasm.Cytoplasm_Granularity_4_ER,Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_2of4,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4"
7,0.10351239,0.8482597,0.21374057,0.9517721,"Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_Correlation_RWC_Mito_DNA,Nuclei.Nuclei_Correlation_RWC_Mito_RNA,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_2of4"
8,0.044282537,0.5250039,0.12049107,0.56928647,"Cytoplasm.Cytoplasm_Granularity_4_ER,Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_2of4,Nuclei.Nuclei_Correlation_RWC_Mito_RNA"
9,0.09091074,0.6954883,0.17019439,0.786399,"Nuclei.Nuclei_Correlation_RWC_Mito_DNA,Nuclei.Nuclei_Correlation_RWC_RNA_Mito,Nuclei.Nuclei_RadialDistribution_RadialCV_DNA_1of4,Nuclei.Nuclei_RadialDistribution_MeanFrac_Brightfield_2of4,Nuclei.Nuclei_Correlation_RWC_Mito_RNA"
