,SaliencyV0,SaliencyV1,SaliencyV2,SaliencyV4,TopYfeats
0,0.14525527,0.7270795,0.23389924,0.8723348,"Cytoplasm.Cytoplasm_Granularity_3_Mito,Cytoplasm.Cytoplasm_Correlation_Overlap_ER_RNA,Nuclei.Nuclei_AreaShape_Zernike_5_3,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_4of4,Nuclei.Nuclei_AreaShape_Zernike_5_5"
1,0.18959281,0.733822,0.3248485,0.9234148,"Nuclei.Nuclei_AreaShape_Zernike_5_3,Nuclei.Nuclei_AreaShape_Zernike_6_6,Nuclei.Nuclei_AreaShape_Zernike_5_5,Cytoplasm.Cytoplasm_Correlation_Overlap_ER_RNA,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_4of4"
2,0.1475013,0.62507373,0.37469906,0.772575,"Nuclei.Nuclei_AreaShape_Zernike_5_3,Cytoplasm.Cytoplasm_Granularity_3_Mito,Cytoplasm.Cytoplasm_Correlation_Overlap_ER_RNA,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_4of4,Nuclei.Nuclei_AreaShape_Zernike_5_5"
3,0.15260105,0.7409197,0.13923912,0.8935208,"Cytoplasm.Cytoplasm_Granularity_3_Mito,Cytoplasm.Cytoplasm_Correlation_Overlap_ER_RNA,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_4of4,Nuclei.Nuclei_AreaShape_Zernike_5_5,Nuclei.Nuclei_AreaShape_Zernike_5_3"
4,0.13109036,0.59148514,0.46005312,0.7225755,"Nuclei.Nuclei_AreaShape_Zernike_6_6,Cytoplasm.Cytoplasm_Correlation_Overlap_ER_RNA,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_4of4,Nuclei.Nuclei_AreaShape_Zernike_5_5,Nuclei.Nuclei_Correlation_Correlation_AGP_Brightfield"
5,0.15644994,0.7058444,0.11872855,0.8622943,"Nuclei.Nuclei_AreaShape_Zernike_5_3,Cytoplasm.Cytoplasm_Granularity_3_Mito,Cytoplasm.Cytoplasm_Correlation_Overlap_ER_RNA,Nuclei.Nuclei_AreaShape_Zernike_5_5,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_4of4"
6,0.08319872,0.49481976,0.40797225,0.5780185,"Nuclei.Nuclei_AreaShape_Zernike_6_6,Cytoplasm.Cytoplasm_Correlation_Overlap_ER_RNA,Cytoplasm.Cytoplasm_Granularity_3_Mito,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_4of4,Nuclei.Nuclei_AreaShape_Zernike_5_5"
7,0.10101866,0.36167186,0.20644337,0.46269053,"Nuclei.Nuclei_AreaShape_Zernike_6_6,Nuclei.Nuclei_AreaShape_Zernike_5_5,Cytoplasm.Cytoplasm_Correlation_Overlap_ER_RNA,Cytoplasm.Cytoplasm_Granularity_3_Mito,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_4of4"
8,0.39291975,0.43576646,0.14430836,0.82868624,"Nuclei.Nuclei_AreaShape_Zernike_5_3,Nuclei.Nuclei_AreaShape_Zernike_5_5,Cytoplasm.Cytoplasm_Correlation_Overlap_ER_RNA,Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_4of4,Nuclei.Nuclei_AreaShape_Solidity"
9,0.05748569,0.4123728,0.24124184,0.4698585,"Nuclei.Nuclei_RadialDistribution_RadialCV_Mito_4of4,Nuclei.Nuclei_AreaShape_Solidity,Cytoplasm.Cytoplasm_Correlation_Overlap_ER_RNA,Cytoplasm.Cytoplasm_Granularity_3_Mito,Nuclei.Nuclei_AreaShape_Zernike_6_6"
