compound,AP,count
ACAT inhibitor,0.0006097429333677352,15
AKT inhibitor,0.017321642455882157,25
ALK tyrosine kinase receptor inhibitor,0.000579142094351168,20
ATP channel blocker,0.0019865921539350285,15
ATPase inhibitor,0.00349757158851421,15
Aurora kinase inhibitor,0.23173954430919405,30
BCL inhibitor,0.004761632735238895,15
Bcr-Abl kinase inhibitor,0.00041343806825076574,10
Bruton's tyrosine kinase (BTK) inhibitor,0.001000268988354671,15
CC chemokine receptor antagonist,0.000210339510931755,32
CCK receptor antagonist,-0.00021870607385937932,10
CDK inhibitor,0.16625800697713355,40
CFTR channel agonist,-5.4560166925119295e-05,10
DNA alkylating agent,0.0005652881019586932,25
DNA directed DNA polymerase inhibitor,0.012146958104997581,14
DNA inhibitor,0.004642664164908777,40
DNA methyltransferase inhibitor,0.0015485664301717738,10
DNA polymerase inhibitor,-0.00027260575631003043,24
DNA synthesis inhibitor,0.001970188606741809,20
EGFR inhibitor,0.029594155611118472,75
EGFR inhibitor/protein tyrosine kinase inhibitor,0.0007056198721154426,10
FGFR inhibitor/PDGFR tyrosine kinase receptor inhibitor/VEGFR inhibitor,-0.00012536452196373272,9
FGFR inhibitor/VEGFR inhibitor,-0.00016601364981007008,15
GABA receptor antagonist,0.057930012205299905,10
GABA receptor modulator,0.024195722619637056,15
HCV inhibitor,0.0031041319438456214,39
HDAC inhibitor,0.17604734436329103,59
HIV integrase inhibitor,0.0012060022656282796,14
HIV protease inhibitor,0.0010253122486257485,27
HMGCR inhibitor,0.0016711796077965504,25
HSP inhibitor,0.9731640160072117,22
JAK inhibitor,0.0454327410679752,30
KIT inhibitor/PDGFR tyrosine kinase receptor inhibitor/VEGFR inhibitor,0.0004469252710976256,10
MDM inhibitor,0.11292905073156034,10
MEK inhibitor,0.6687370461551435,48
NFkB pathway inhibitor,0.0005778753792146026,25
O6-alkylguanine-DNA alkyltransferase inhibitor,-4.845535010646648e-06,10
P glycoprotein inhibitor,5.397133497304007e-05,10
PARP inhibitor,0.000811652163908069,19
PI3K inhibitor,0.01602383145780545,38
PKC inhibitor,0.0031932821756180444,20
PLK inhibitor,0.316030059075871,25
PPAR receptor agonist,0.0035242035239053354,24
Pim kinase inhibitor,8.497073755821811e-05,10
RAF inhibitor,-0.0004251327712415855,22
RNA polymerase inhibitor,0.0010170310605831239,25
T-type calcium channel blocker,-7.253159761152196e-05,10
TGF beta receptor inhibitor,0.0013744188086569603,15
TRPV antagonist,0.0007827663238218765,10
VEGFR inhibitor,0.0009187158926393343,19
XIAP inhibitor,0.004191857836676721,15
acetylcholine receptor agonist,0.005403374856536747,34
acetylcholine receptor antagonist,0.009436041925725424,63
acetylcholine release enhancer,-0.00023782218524260175,10
acetylcholinesterase inhibitor,0.0010935964633053334,14
adenosine receptor agonist,0.0001893568722747092,9
adenosine receptor antagonist,0.0030913226190476283,18
adenylyl cyclase activator,0.03494014114651988,10
adrenergic inhibitor,-3.7175057872448535e-05,10
adrenergic receptor agonist,0.0037292694686260875,76
adrenergic receptor antagonist,0.009365698228964199,104
alcohol dehydrogenase inhibitor,0.004737322952909977,10
aldose reductase inhibitor,0.008471293376333292,10
androgen receptor antagonist,0.007583288208588519,30
androgen receptor modulator,0.00446423362788987,22
angiogenesis inhibitor,0.003310020962820294,15
angiogenesis inhibitor/tumor necrosis factor production inhibitor,0.0007350657615720706,9
angiotensin converting enzyme inhibitor,0.0030478596979839692,43
angiotensin receptor antagonist,0.008388363839396146,29
anthelmintic agent,0.01522824406339376,10
antimalarial agent,-0.0002707277819528964,10
antithyroid agent,-0.00010620991152803511,10
aromatase inhibitor,0.00959290606751121,20
bacterial 50S ribosomal subunit inhibitor,0.2664360865682216,10
