compound,AP,count
ACAT inhibitor,3.4748819191649235e-05,15
AKT inhibitor,0.010633890858322614,25
ALK tyrosine kinase receptor inhibitor,0.0057696655045062495,20
ATP channel blocker,0.0015232399547182652,15
ATPase inhibitor,0.0007773525346297054,15
Aurora kinase inhibitor,0.428759858360673,30
BCL inhibitor,0.00412820805512196,15
Bcr-Abl kinase inhibitor,-0.0002420899449391384,10
Bruton's tyrosine kinase (BTK) inhibitor,0.007603963365610667,15
CC chemokine receptor antagonist,0.0018449425948877808,32
CCK receptor antagonist,5.687828789037494e-05,10
CDK inhibitor,0.17560743859374273,40
CFTR channel agonist,-0.00017673157649324985,10
DNA alkylating agent,0.005296019962223008,25
DNA directed DNA polymerase inhibitor,0.002230829104411669,14
DNA inhibitor,0.0014383745759458991,40
DNA methyltransferase inhibitor,0.003721648669779832,10
DNA polymerase inhibitor,0.005795993142261209,24
DNA synthesis inhibitor,0.0009690044864454883,20
EGFR inhibitor,0.037746701731556635,75
EGFR inhibitor/protein tyrosine kinase inhibitor,0.0010699390970563209,10
FGFR inhibitor/PDGFR tyrosine kinase receptor inhibitor/VEGFR inhibitor,0.0002591435747594596,9
FGFR inhibitor/VEGFR inhibitor,3.8389498409449984e-05,15
GABA receptor antagonist,0.05270078214414471,10
GABA receptor modulator,0.004441728493361397,15
HCV inhibitor,0.0012058406625883363,39
HDAC inhibitor,0.12891889291880643,59
HIV integrase inhibitor,0.004542578340390824,14
HIV protease inhibitor,0.0016078055837414557,27
HMGCR inhibitor,0.0035263308489197637,25
HSP inhibitor,0.42907499694606627,22
JAK inhibitor,0.009293542217858445,30
KIT inhibitor/PDGFR tyrosine kinase receptor inhibitor/VEGFR inhibitor,0.0004770165324817775,10
MDM inhibitor,0.06478901090851964,10
MEK inhibitor,0.29402688716102915,48
NFkB pathway inhibitor,0.0008937061349549824,25
O6-alkylguanine-DNA alkyltransferase inhibitor,0.0010153484792644254,10
P glycoprotein inhibitor,0.000103332768016582,10
PARP inhibitor,0.009663412480754243,19
PI3K inhibitor,0.010753119625979904,38
PKC inhibitor,0.00081801191340616,20
PLK inhibitor,0.5341258757293584,25
PPAR receptor agonist,0.0024366305541198446,24
Pim kinase inhibitor,0.001020228368445042,10
RAF inhibitor,0.0003294415204487772,22
RNA polymerase inhibitor,0.005242093836792936,25
T-type calcium channel blocker,-9.078929567743811e-05,10
TGF beta receptor inhibitor,0.010178948666786007,15
TRPV antagonist,0.003925437982499667,10
VEGFR inhibitor,0.007111410089050011,19
XIAP inhibitor,0.015890509546724222,15
acetylcholine receptor agonist,0.0039005737790433924,34
acetylcholine receptor antagonist,0.00494571718146344,63
acetylcholine release enhancer,-3.78960812894381e-05,10
acetylcholinesterase inhibitor,0.009583990345765877,14
adenosine receptor agonist,0.001287358648178004,9
adenosine receptor antagonist,0.0010711006803034852,18
adenylyl cyclase activator,0.0021255509260206034,10
adrenergic inhibitor,0.0005182827176387782,10
adrenergic receptor agonist,0.0037857612067191213,76
adrenergic receptor antagonist,0.0029157321016409173,104
alcohol dehydrogenase inhibitor,0.0014820533697987063,10
aldose reductase inhibitor,0.006672281218643751,10
androgen receptor antagonist,0.0038158604061958707,30
androgen receptor modulator,0.0033117210976192912,22
angiogenesis inhibitor,0.0015794561508383734,15
