Feature type	Feature name
Cytoplasm	Cytoplasm_AreaShape_Area
Cytoplasm	Cytoplasm_AreaShape_Center_X
Cytoplasm	Cytoplasm_AreaShape_Center_Y
Cytoplasm	Cytoplasm_AreaShape_Compactness
Cytoplasm	Cytoplasm_AreaShape_Eccentricity
Cytoplasm	Cytoplasm_AreaShape_EulerNumber
Cytoplasm	Cytoplasm_AreaShape_Extent
Cytoplasm	Cytoplasm_AreaShape_FormFactor
Cytoplasm	Cytoplasm_AreaShape_MajorAxisLength
Cytoplasm	Cytoplasm_AreaShape_MaxFeretDiameter
Cytoplasm	Cytoplasm_AreaShape_MaximumRadius
Cytoplasm	Cytoplasm_AreaShape_MeanRadius
Cytoplasm	Cytoplasm_AreaShape_MedianRadius
Cytoplasm	Cytoplasm_AreaShape_MinFeretDiameter
Cytoplasm	Cytoplasm_AreaShape_MinorAxisLength
Cytoplasm	Cytoplasm_AreaShape_Orientation
Cytoplasm	Cytoplasm_AreaShape_Perimeter
Cytoplasm	Cytoplasm_AreaShape_Solidity
Cytoplasm	Cytoplasm_AreaShape_Zernike_0_0
Cytoplasm	Cytoplasm_AreaShape_Zernike_1_1
Cytoplasm	Cytoplasm_AreaShape_Zernike_2_0
Cytoplasm	Cytoplasm_AreaShape_Zernike_2_2
Cytoplasm	Cytoplasm_AreaShape_Zernike_3_1
Cytoplasm	Cytoplasm_AreaShape_Zernike_3_3
Cytoplasm	Cytoplasm_AreaShape_Zernike_4_0
Cytoplasm	Cytoplasm_AreaShape_Zernike_4_2
Cytoplasm	Cytoplasm_AreaShape_Zernike_4_4
Cytoplasm	Cytoplasm_AreaShape_Zernike_5_1
Cytoplasm	Cytoplasm_AreaShape_Zernike_5_3
Cytoplasm	Cytoplasm_AreaShape_Zernike_5_5
Cytoplasm	Cytoplasm_AreaShape_Zernike_6_0
Cytoplasm	Cytoplasm_AreaShape_Zernike_6_2
Cytoplasm	Cytoplasm_AreaShape_Zernike_6_4
Cytoplasm	Cytoplasm_AreaShape_Zernike_6_6
Cytoplasm	Cytoplasm_AreaShape_Zernike_7_1
Cytoplasm	Cytoplasm_AreaShape_Zernike_7_3
Cytoplasm	Cytoplasm_AreaShape_Zernike_7_5
Cytoplasm	Cytoplasm_AreaShape_Zernike_7_7
Cytoplasm	Cytoplasm_AreaShape_Zernike_8_0
Cytoplasm	Cytoplasm_AreaShape_Zernike_8_2
Cytoplasm	Cytoplasm_AreaShape_Zernike_8_4
Cytoplasm	Cytoplasm_AreaShape_Zernike_8_6
Cytoplasm	Cytoplasm_AreaShape_Zernike_8_8
Cytoplasm	Cytoplasm_AreaShape_Zernike_9_1
Cytoplasm	Cytoplasm_AreaShape_Zernike_9_3
Cytoplasm	Cytoplasm_AreaShape_Zernike_9_5
Cytoplasm	Cytoplasm_AreaShape_Zernike_9_7
Cytoplasm	Cytoplasm_AreaShape_Zernike_9_9
Cytoplasm	Cytoplasm_Correlation_Correlation_DNA_AGP
Cytoplasm	Cytoplasm_Correlation_Correlation_DNA_ER
Cytoplasm	Cytoplasm_Correlation_Correlation_DNA_Mito
Cytoplasm	Cytoplasm_Correlation_Correlation_DNA_RNA
Cytoplasm	Cytoplasm_Correlation_Correlation_ER_AGP
Cytoplasm	Cytoplasm_Correlation_Correlation_ER_RNA
Cytoplasm	Cytoplasm_Correlation_Correlation_Mito_AGP
Cytoplasm	Cytoplasm_Correlation_Correlation_Mito_ER
Cytoplasm	Cytoplasm_Correlation_Correlation_Mito_RNA
Cytoplasm	Cytoplasm_Correlation_Correlation_RNA_AGP
Cytoplasm	Cytoplasm_Correlation_Costes_AGP_DNA
Cytoplasm	Cytoplasm_Correlation_Costes_AGP_ER
Cytoplasm	Cytoplasm_Correlation_Costes_AGP_Mito
Cytoplasm	Cytoplasm_Correlation_Costes_AGP_RNA
Cytoplasm	Cytoplasm_Correlation_Costes_DNA_AGP
Cytoplasm	Cytoplasm_Correlation_Costes_DNA_ER
Cytoplasm	Cytoplasm_Correlation_Costes_DNA_Mito
Cytoplasm	Cytoplasm_Correlation_Costes_DNA_RNA
Cytoplasm	Cytoplasm_Correlation_Costes_ER_AGP
Cytoplasm	Cytoplasm_Correlation_Costes_ER_DNA
Cytoplasm	Cytoplasm_Correlation_Costes_ER_Mito
Cytoplasm	Cytoplasm_Correlation_Costes_ER_RNA
Cytoplasm	Cytoplasm_Correlation_Costes_Mito_AGP
Cytoplasm	Cytoplasm_Correlation_Costes_Mito_DNA
Cytoplasm	Cytoplasm_Correlation_Costes_Mito_ER
Cytoplasm	Cytoplasm_Correlation_Costes_Mito_RNA
Cytoplasm	Cytoplasm_Correlation_Costes_RNA_AGP
Cytoplasm	Cytoplasm_Correlation_Costes_RNA_DNA
Cytoplasm	Cytoplasm_Correlation_Costes_RNA_ER
Cytoplasm	Cytoplasm_Correlation_Costes_RNA_Mito
Cytoplasm	Cytoplasm_Correlation_K_AGP_DNA
Cytoplasm	Cytoplasm_Correlation_K_AGP_ER
Cytoplasm	Cytoplasm_Correlation_K_AGP_Mito
Cytoplasm	Cytoplasm_Correlation_K_AGP_RNA
Cytoplasm	Cytoplasm_Correlation_K_DNA_AGP
Cytoplasm	Cytoplasm_Correlation_K_DNA_ER
Cytoplasm	Cytoplasm_Correlation_K_DNA_Mito
Cytoplasm	Cytoplasm_Correlation_K_DNA_RNA
Cytoplasm	Cytoplasm_Correlation_K_ER_AGP
Cytoplasm	Cytoplasm_Correlation_K_ER_DNA
Cytoplasm	Cytoplasm_Correlation_K_ER_Mito
Cytoplasm	Cytoplasm_Correlation_K_ER_RNA
Cytoplasm	Cytoplasm_Correlation_K_Mito_AGP
Cytoplasm	Cytoplasm_Correlation_K_Mito_DNA
Cytoplasm	Cytoplasm_Correlation_K_Mito_ER
Cytoplasm	Cytoplasm_Correlation_K_Mito_RNA
Cytoplasm	Cytoplasm_Correlation_K_RNA_AGP
Cytoplasm	Cytoplasm_Correlation_K_RNA_DNA
Cytoplasm	Cytoplasm_Correlation_K_RNA_ER
Cytoplasm	Cytoplasm_Correlation_K_RNA_Mito
Cytoplasm	Cytoplasm_Correlation_Manders_AGP_DNA
Cytoplasm	Cytoplasm_Correlation_Manders_AGP_ER
Cytoplasm	Cytoplasm_Correlation_Manders_AGP_Mito
Cytoplasm	Cytoplasm_Correlation_Manders_AGP_RNA
Cytoplasm	Cytoplasm_Correlation_Manders_DNA_AGP
