broad_id	pert_iname	clinical_phase	moa	target	disease_area	indication	qc_incompatible	purity	vendor	catalog_no	vendor_name	expected_mass	smiles	InChIKey	pubchem_cid	deprecated_broad_id	InChIKey14	repurposing_info_index	moa_unique	target_unique
BRD-K76022557-003-28-9	(R)-(-)-apomorphine	Launched	dopamine receptor agonist	ADRA2A|ADRA2B|ADRA2C|CALY|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A	neurology/psychiatry	Parkinson's Disease	0	98.9	MedChemEx	HY-12723A	Apomorphine (hydrochloride hemihydrate)	267.126	CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31	VMWNQDUVQKEIOC-CYBMUJFWSA-N	6005.0		VMWNQDUVQKEIOC	0	dopamine receptor agonist	ADRA2A
BRD-K76022557-003-28-9	(R)-(-)-apomorphine	Launched	dopamine receptor agonist	ADRA2A|ADRA2B|ADRA2C|CALY|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A	neurology/psychiatry	Parkinson's Disease	0	98.9	MedChemEx	HY-12723A	Apomorphine (hydrochloride hemihydrate)	267.126	CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31	VMWNQDUVQKEIOC-CYBMUJFWSA-N	6005.0		VMWNQDUVQKEIOC	0	dopamine receptor agonist	ADRA2B
BRD-K76022557-003-28-9	(R)-(-)-apomorphine	Launched	dopamine receptor agonist	ADRA2A|ADRA2B|ADRA2C|CALY|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A	neurology/psychiatry	Parkinson's Disease	0	98.9	MedChemEx	HY-12723A	Apomorphine (hydrochloride hemihydrate)	267.126	CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31	VMWNQDUVQKEIOC-CYBMUJFWSA-N	6005.0		VMWNQDUVQKEIOC	0	dopamine receptor agonist	ADRA2C
BRD-K76022557-003-28-9	(R)-(-)-apomorphine	Launched	dopamine receptor agonist	ADRA2A|ADRA2B|ADRA2C|CALY|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A	neurology/psychiatry	Parkinson's Disease	0	98.9	MedChemEx	HY-12723A	Apomorphine (hydrochloride hemihydrate)	267.126	CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31	VMWNQDUVQKEIOC-CYBMUJFWSA-N	6005.0		VMWNQDUVQKEIOC	0	dopamine receptor agonist	CALY
BRD-K76022557-003-28-9	(R)-(-)-apomorphine	Launched	dopamine receptor agonist	ADRA2A|ADRA2B|ADRA2C|CALY|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A	neurology/psychiatry	Parkinson's Disease	0	98.9	MedChemEx	HY-12723A	Apomorphine (hydrochloride hemihydrate)	267.126	CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31	VMWNQDUVQKEIOC-CYBMUJFWSA-N	6005.0		VMWNQDUVQKEIOC	0	dopamine receptor agonist	DRD1
BRD-K76022557-003-28-9	(R)-(-)-apomorphine	Launched	dopamine receptor agonist	ADRA2A|ADRA2B|ADRA2C|CALY|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A	neurology/psychiatry	Parkinson's Disease	0	98.9	MedChemEx	HY-12723A	Apomorphine (hydrochloride hemihydrate)	267.126	CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31	VMWNQDUVQKEIOC-CYBMUJFWSA-N	6005.0		VMWNQDUVQKEIOC	0	dopamine receptor agonist	DRD2
BRD-K76022557-003-28-9	(R)-(-)-apomorphine	Launched	dopamine receptor agonist	ADRA2A|ADRA2B|ADRA2C|CALY|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A	neurology/psychiatry	Parkinson's Disease	0	98.9	MedChemEx	HY-12723A	Apomorphine (hydrochloride hemihydrate)	267.126	CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31	VMWNQDUVQKEIOC-CYBMUJFWSA-N	6005.0		VMWNQDUVQKEIOC	0	dopamine receptor agonist	DRD3
BRD-K76022557-003-28-9	(R)-(-)-apomorphine	Launched	dopamine receptor agonist	ADRA2A|ADRA2B|ADRA2C|CALY|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A	neurology/psychiatry	Parkinson's Disease	0	98.9	MedChemEx	HY-12723A	Apomorphine (hydrochloride hemihydrate)	267.126	CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31	VMWNQDUVQKEIOC-CYBMUJFWSA-N	6005.0		VMWNQDUVQKEIOC	0	dopamine receptor agonist	DRD4
BRD-K76022557-003-28-9	(R)-(-)-apomorphine	Launched	dopamine receptor agonist	ADRA2A|ADRA2B|ADRA2C|CALY|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A	neurology/psychiatry	Parkinson's Disease	0	98.9	MedChemEx	HY-12723A	Apomorphine (hydrochloride hemihydrate)	267.126	CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31	VMWNQDUVQKEIOC-CYBMUJFWSA-N	6005.0		VMWNQDUVQKEIOC	0	dopamine receptor agonist	DRD5
BRD-K76022557-003-28-9	(R)-(-)-apomorphine	Launched	dopamine receptor agonist	ADRA2A|ADRA2B|ADRA2C|CALY|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A	neurology/psychiatry	Parkinson's Disease	0	98.9	MedChemEx	HY-12723A	Apomorphine (hydrochloride hemihydrate)	267.126	CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31	VMWNQDUVQKEIOC-CYBMUJFWSA-N	6005.0		VMWNQDUVQKEIOC	0	dopamine receptor agonist	HTR1A
